Standard,Subject,Grade,Strand,Standard Number,Description,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.1.1,Formulate questions to focus thinking on an idea to narrow and direct further inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.1.1,Formulate questions to focus thinking on an idea to narrow and direct further inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.1.1,Develop questions to broaden thinking on a specific idea that frames inquiry for new learning and deeper understanding.,,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.1.1,Develop questions to broaden thinking on a specific idea that frames inquiry for new learning and deeper understanding.,,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.1.1,Develop a range of questions to frame inquiry for new learning and deeper understanding.,,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K-8.2,"Transact with texts to formulate questions, propose explanations, and consider alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.K-8.2,"Transact with texts to formulate questions, propose explanations, and consider alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.K-8.2,"Transact with texts to formulate questions, propose explanations, and consider alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.K-8.2,"Transact with texts to formulate questions, propose explanations, and consider alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.K-8.2,"Transact with texts to formulate questions, propose explanations, and consider alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.K-8.2,"Transact with texts to formulate questions, propose explanations, and consider alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.K-8.2,"Transact with texts to formulate questions, propose explanations, and consider alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.K-8.2,"Transact with texts to formulate questions, propose explanations, and consider alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.K-8.2,"Transact with texts to formulate questions, propose explanations, and consider alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K.2.1,"With guidance and support, engage in daily explorations of texts to make connections to personal experiences, other texts, or the environment.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.2.1,"Engage in daily explorations of texts to make connections to personal experiences, other texts, or the environment.",,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.2.1,Engage in daily exploration to formulate questions from texts and personal experiences; generate possible explanations and consider alternatives.,,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.2.1,Explore topics of interest to formulate logical questions; build knowledge; generate possible explanations; consider alternative views.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.2.1,Explore topics of interest to formulate logical questions; build knowledge; generate possible explanations; consider alternative views.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.2.1,Explore topics of interest to formulate logical questions; build knowledge; generate possible explanations; consider alternative views.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.2.1,"Transact with text in order to formulate logical questions based on evidence, generate explanations, propose and present conclusions, and consider multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.2.1,"Formulate logical questions based on evidence, generate explanations, propose and present original conclusions, and consider multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.2.1,"Formulate logical questions based on evidence, generate explanations, propose and present original conclusions, and consider multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K-8.3,"Construct knowledge, applying disciplinary concepts and tools, to build deeper understanding of the world through exploration, collaboration, and analysis.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.K-8.3,"Construct knowledge, applying disciplinary concepts and tools, to build deeper understanding of the world through exploration, collaboration, and analysis.",,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.K-8.3,"Construct knowledge, applying disciplinary concepts and tools, to build deeper understanding of the world through exploration, collaboration, and analysis.",,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.K-8.3,"Construct knowledge, applying disciplinary concepts and tools, to build deeper understanding of the world through exploration, collaboration, and analysis.",,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.K-8.3,"Construct knowledge, applying disciplinary concepts and tools, to build deeper understanding of the world through exploration, collaboration, and analysis.",,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.K-8.3,"Construct knowledge, applying disciplinary concepts and tools, to build deeper understanding of the world through exploration, collaboration, and analysis.",,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.K-8.3,"Construct knowledge, applying disciplinary concepts and tools, to build deeper understanding of the world through exploration, collaboration, and analysis.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.K-8.3,"Construct knowledge, applying disciplinary concepts and tools, to build deeper understanding of the world through exploration, collaboration, and analysis.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.K-8.3,"Construct knowledge, applying disciplinary concepts and tools, to build deeper understanding of the world through exploration, collaboration, and analysis.",,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K.3.1,"With guidance and support, develop a plan of action for collecting information from multiple sources through play, sensory observation, texts, websites, and conversations with adults/peers.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.3.1,"Develop a plan of action for collecting relevant information from multiple sources through play, sensory observation, texts, websites, and conversations with adults/peers.",,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.3.1,"Develop a plan of action for collecting relevant information from multiple sources through play, observation, texts, websites, and conversations with adults/peers.",,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K.3.2,"With guidance and support, select information, revise ideas, and record and communicate findings.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.3.2,"Select the most important information, revise ideas, and record and communicate findings.",,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.3.2,"Select the most important information, revise ideas, and record and communicate findings.",,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.3.1,Develop a plan of action for collecting relevant information from primary and secondary sources.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.3.1,Develop a plan of action for collecting relevant information from primary and secondary sources.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.3.1,Develop a plan of action for collecting relevant information from primary and secondary sources.,,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.3.2,Organize and categorize important information; collaborate to validate or revise thinking; report relevant findings.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.3.2,Organize and categorize important information; collaborate to validate or revise thinking; report relevant findings.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.3.2,Organize and categorize important information; collaborate to validate or revise thinking; report relevant findings.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.3.1,Develop a plan of action by using appropriate discipline-specific strategies.,,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.3.1,Develop a plan of action by using appropriate discipline-specific strategies.,,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.3.1,Develop a plan of action by using appropriate discipline-specific strategies.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.3.2,"Examine historical, social, cultural, or political context to broaden inquiry.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.3.2,"Examine historical, social, cultural, or political context to broaden inquiry.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.3.2,"Examine historical, social, cultural, or political context to broaden inquiry.",,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.3.3,"Gather information from a variety of primary and secondary sources and evaluate sources for perspective, validity, and bias.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.3.3,"Gather information from a variety of primary and secondary sources and evaluate sources for perspective, validity, and bias.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.3.3,"Gather information from a variety of primary and secondary sources and evaluate sources for perspective, validity, and bias.",,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.3.4,"Organize and categorize important information, revise ideas, and report relevant findings.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.3.4,"Organize and categorize important information, revise ideas, and report relevant findings.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.3.4,"Organize and categorize important information, revise ideas, and report relevant findings.",,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K-8.4,Synthesize information to share learning and/or take action.,,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.K-8.4,Synthesize information to share learning and/or take action.,,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.K-8.4,Synthesize information to share learning and/or take action.,,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.K-8.4,Synthesize information to share learning and/or take action.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.K-8.4,Synthesize information to share learning and/or take action.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.K-8.4,Synthesize information to share learning and/or take action.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.K-8.4,Synthesize information to share learning and/or take action.,,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.K-8.4,Synthesize information to share learning and/or take action.,,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.K-8.4,Synthesize information to share learning and/or take action.,,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K.4.1,"With guidance and support, discover relationships and patterns during the inquiry process.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.4.1,Draw conclusions from relationships and patterns discovered during the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.4.1,Interpret relationships and patterns discovered during the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K.4.2,"With guidance and support, use tools to communicate findings.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.4.2,Determine appropriate tools to communicate findings.,,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.4.2,Use appropriate tools to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K.4.3,"With guidance and support, reflect on findings.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.4.3,Reflect on findings and take action.,,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.4.3,Reflect on findings and pose new questions for further inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.4.1,Draw logical conclusions from relationships and patterns discovered during the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.4.1,Draw logical conclusions from relationships and patterns discovered during the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.4.1,Draw logical conclusions from relationships and patterns discovered during the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.4.2,Reflect on findings to build deeper understanding and determine next steps.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.4.2,Reflect on findings to build deeper understanding and determine next steps.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.4.2,Reflect on findings to build deeper understanding and determine next steps.,,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.4.3,Determine appropriate tools and develop plan to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.4.3,Determine appropriate tools and develop plan to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.4.3,Determine appropriate tools and develop plan to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.4.1,"Employ a critical stance to demonstrate that relationships and patterns of evidence lead to logical conclusions, while acknowledging alternative views.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.4.1,"Employ a critical stance to demonstrate that relationships and patterns of evidence lead to logical conclusions, while acknowledging alternative views.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.4.1,"Employ a critical stance to demonstrate that relationships and patterns of evidence lead to logical conclusions, while acknowledging alternative views.",,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.4.2,Determine appropriate disciplinary tools and develop a plan to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.4.2,Determine appropriate disciplinary tools and develop a plan to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.4.2,Determine appropriate disciplinary tools and develop a plan to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.4.3,Reflect on findings and pose appropriate questions for further inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.4.3,Reflect on findings and pose appropriate questions for further inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.4.3,Reflect on findings and pose appropriate questions for further inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K-8.5,"Reflect throughout the inquiry process to assess metacognition, broaden understanding, and guide actions, individually and collaboratively.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.K-8.5,"Reflect throughout the inquiry process to assess metacognition, broaden understanding, and guide actions, individually and collaboratively.",,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.K-8.5,"Reflect throughout the inquiry process to assess metacognition, broaden understanding, and guide actions, individually and collaboratively.",,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.K-8.5,"Reflect throughout the inquiry process to assess metacognition, broaden understanding, and guide actions, individually and collaboratively.",,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.K-8.5,"Reflect throughout the inquiry process to assess metacognition, broaden understanding, and guide actions, individually and collaboratively.",,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.K-8.5,"Reflect throughout the inquiry process to assess metacognition, broaden understanding, and guide actions, individually and collaboratively.",,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.K-8.5,"Reflect throughout the inquiry process to assess metacognition, broaden understanding, and guide actions, individually and collaboratively.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.K-8.5,"Reflect throughout the inquiry process to assess metacognition, broaden understanding, and guide actions, individually and collaboratively.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.K-8.5,"Reflect throughout the inquiry process to assess metacognition, broaden understanding, and guide actions, individually and collaboratively.",,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K.5.1,"With guidance and support, recognize the value of individual and collective thinking.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.5.1,Recognize the value of individual and collective thinking.,,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.5.1,Acknowledge and value individual and collective thinking.,,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K.5.2,With guidance and support monitor and assess learning to guide inquiry,,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.5.2,Monitor and assess learning to guide inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.5.2,Monitor and assess learning to guide inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.5.3,Articulate the thinking process.,,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.5.3,Articulate the process of learning and seek appropriate help.,,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.5.1,Acknowledge and value individual and collective thinking.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.5.1,Acknowledge and value individual and collective thinking.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.5.1,Acknowledge and value individual and collective thinking.,,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.5.2,Employ past learning to monitor and assess current learning to guide inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.5.2,Employ past learning to monitor and assess current learning to guide inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.5.2,Employ past learning to monitor and assess current learning to guide inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.5.3,Assess the process and determine strategies to revise the plan and apply learning for future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.4.5.3,Assess the process and determine strategies to revise the plan and apply learning for future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.5.5.3,Assess the process and determine strategies to revise the plan and apply learning for future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.5.1,Acknowledge and value individual and collective thinking; use feedback from peers and adults to guide the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.5.1,Acknowledge and value individual and collective thinking; use feedback from peers and adults to guide the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.5.1,Acknowledge and value individual and collective thinking and using feedback from peers and adults to guide the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.5.2,Employ past and present learning in order to monitor and guide inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.5.2,Employ past and present learning in order to monitor and guide inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.5.2,Employ past and present learning in order to monitor and guide inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.6.5.3,"Assess the processes to revise strategies, address misconceptions, anticipate and overcome obstacles, and reflect on completeness of the inquiry.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.7.5.3,"Assess the processes to revise strategies, address misconceptions, anticipate and overcome obstacles, and reflect on completeness of the inquiry.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.8.5.3,"Assess the processes to revise strategies, address misconceptions, anticipate and overcome obstacles, and reflect on completeness of the inquiry.",,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.K-8.1,Demonstrate understanding of the organization and basic features of print.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.1.1,"Follow words from left to right, top to bottom, and front to back.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.1.1,Recognize the distinguishing features of a sentence.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.1.2,Recognize that spoken words are represented in written language by specific sequences of letters.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1-2.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.1-2.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.1.3,Understand that words are separated by spaces in print.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1-2.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.1-2.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.1.4,Recognize and name all upper- and lowercase letters of the alphabet.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1-2.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.1-2.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.1.4,Students are expected to build upon and continue applying previous learning.,,
