Standard,Subject,Grade,Strand,Standard Number,Description,
College and Career Readiness Standards for Math,Math,A,Operations and Algebraic Thinking,1.OA.2,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",
College and Career Readiness Standards for Math,Math,A,Operations and Algebraic Thinking,1.OA.3,"Apply properties of operations as strategies to add and subtract. Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12",
College and Career Readiness Standards for Math,Math,A,Operations and Algebraic Thinking,1.OA.4,"Understand subtraction as an unknown-addend problem. For example, subtract 10 – 8 by finding the number that makes 10 when added to 8.",
College and Career Readiness Standards for Math,Math,A,Operations and Algebraic Thinking,1.OA.5,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",
College and Career Readiness Standards for Math,Math,A,Operations and Algebraic Thinking,1.OA.6,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 – 4 = 13 – 3 – 1 = 10 – 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 – 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13)",
College and Career Readiness Standards for Math,Math,A,Operations and Algebraic Thinking,1.OA.7,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 – 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2",
College and Career Readiness Standards for Math,Math,A,Operations and Algebraic Thinking,1.OA.8,Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.,
College and Career Readiness Standards for Math,Math,A,Geometry,K.G.4,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/ “corners”) and other attributes (e.g., having sides of equal length
",
College and Career Readiness Standards for Math,Math,A,Geometry,1.G.2,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quartercircles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.",
College and Career Readiness Standards for Math,Math,A,Measurement and Data,1.MD.2,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.",
College and Career Readiness Standards for Math,Math,A,Measurement and Data,1.MD.4,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.1,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.1 a.,100 can be thought of as a bundle of ten tens — called a “hundred,
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.1 b.,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.2,"Count within 1000; skip-count by 5s, 10s, and 100s.",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.3,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.4,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons.",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.6,Add up to four two-digit numbers using strategies based on place value and properties of operation,
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.7,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.8,"Mentally add 10 or 100 to a given number 100–900, and mentally subtract 10 or 100 from a given number 100–900",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,2.NBT.9,"Explain why addition and subtraction strategies work, using place value and the properties of operations",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,3.NBT.1,Use place value understanding to round whole numbers to the nearest 10 or 100,
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,3.NBT.2,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Base Ten,3.NBT.3,"Multiply one-digit whole numbers by multiples of 10 in the range 10–90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Fractions,3.NF.1,Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/,
College and Career Readiness Standards for Math,Math,B,Number and Operations: Fractions,3.NF.2,Develop understanding of fractions as numbers.,
College and Career Readiness Standards for Math,Math,B,Number and Operations: Fractions,3.NF.2a,Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.,
College and Career Readiness Standards for Math,Math,B,Number and Operations: Fractions,3.NF.2b,Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line,
College and Career Readiness Standards for Math,Math,B,Number and Operations: Fractions,3.NF.3,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Fractions,3.NF.3a,"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line.",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Fractions,3.NF.3b,"Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3. Explain why the fractions are equivalent, e.g., by using a visual fraction model",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Fractions,3.NF.3c,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram",
College and Career Readiness Standards for Math,Math,B,Number and Operations: Fractions,3.NF.3d,"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model",
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,2.OA.1,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,2.OA.2,Fluently add and subtract within 20 using mental strategies. Know from memory all sums of two onedigit numbers.,
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,3.OA.1,"Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 × 7",
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,3.OA.2,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56 ÷ 8",
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,3.OA.3,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,3.OA.4,Determine the unknown whole number in a multiplication or division equation relating three whole numbers,
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,3.OA.5,"Apply properties of operations as strategies to multiply and divide.15 Examples: If 6 × 4 = 24 is known, then 4 × 6 = 24 is also known",
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,3.OA.6,"Understand division as an unknown-factor problem. For example, find 32 ÷ 8 by finding the number that makes 32 when multiplied by 8.",
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,3.OA.7,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. Know from memory all products of two one-digit numbers.",
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,3.OA.8,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.,
College and Career Readiness Standards for Math,Math,B,Operations and Algebraic Thinking,3.OA.9,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations",
College and Career Readiness Standards for Math,Math,B,Geometry,2.G.1,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.17 Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.",
College and Career Readiness Standards for Math,Math,B,Geometry,2.G.3,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",
College and Career Readiness Standards for Math,Math,B,Geometry,3.G.1,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.",
College and Career Readiness Standards for Math,Math,B,Geometry,3.G.2,"Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. For example, partition a shape into 4 parts with equal area, and describe the area of each part as 1/4 of the area of the shape.",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,2.MD.2,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,2.MD.3,"Estimate lengths using units of inches, feet, centimeters, and meters.",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,2.MD.4,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,2.MD.6,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram.",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.1,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.2,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).18 Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,2.MD.10,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.3,Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step “how many more” and “how many less” problems using information presented in scaled bar graphs.,
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.4,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units—whole numbers, halves, or quarters",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.5,Recognize area as an attribute of plane figures and understand concepts of area measurement,
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.5 a.,"A square with side length 1 unit, called “a unit square,” is said to have “one square unit” of area, and can be used to measure area",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.5 b.,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.,
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.6,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.7,Relate area to the operations of multiplication and addition,
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.7a,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.7b,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.7c,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning.,
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.7d,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into nonoverlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.",
College and Career Readiness Standards for Math,Math,B,Measurement and Data,3.MD.8,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,4.NBT.1,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right. For example, recognize that 700 ÷ 70 = 10 by applying concepts of place value and division.",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,4.NBT.2,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,4.NBT.3,Use place value understanding to round multi-digit whole numbers to any place.,
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,4.NBT.4,Fluently add and subtract multi-digit whole numbers using the standard algorithm,
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,4.NBT.5,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,4.NBT.6,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.1,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its lef",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.2,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.3,"Read, write, and compare decimals to thousandths",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.3a,"Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 × 100 + 4 × 10 + 7 × 1 + 3 × (1/10) + 9 × (1/100) + 2 × (1/1000",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.3b,"Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.4,Use place value understanding to round decimals to any place,
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.5,Fluently multiply multi-digit whole numbers using the standard algorithm,
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.6,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.7,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,6.NF.2,Fluently divide multi-digit numbers using the standard algorithm.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,6.NF.3,"Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,6.NF.4,"Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two whole numbers with no common factor. For example, express 36 + 8 as 4 (9 + 2).",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.1,"Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.2,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3,Understand a fraction a/b with a > 1 as a sum of fractions 1/b.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3a,Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3b,"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model. Examples: 3/8 = 1/8 + 1/8 + 1/8; 3/8 = 1/8 + 2/8; 2 1/8 = 1 + 1 + 1/8 = 8/8 + 8/8 + 1/8.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3c,"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3d,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.4,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.4a,"Understand a fraction a/b as a multiple of 1/b. For example, use a visual fraction model to represent 5/4 as the product 5 × (1/4), recording the conclusion by the equation 5/4 = 5 × (1/4)",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.4b,"Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number. For example, use a visual fraction model to express 3 × (2/5) as 6 × (1/5), recognizing this product as 6/5. (In general, n × (a/b) = (n × a)/b.)",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.4c,"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.6,"Use decimal notation for fractions with denominators 10 or 100. For example, rewrite 0.62 as 62/100; describe a length as 0.62 meters; locate 0.62 on a number line diagram",
