Standard,Subject,Grade,Strand,Standard Number,Description
PA Core - Mathematics,Math,3,Algebraic Concepts,CC.2.2.3.A.4,"Solve problems involving the four operations, and identify and explain patterns in arithmetic."
PA Core - Mathematics,Math,4,Algebraic Concepts,CC.2.2.4.A.1,Represent and solve problems involving the four operations.
PA Core - Mathematics,Math,4,Algebraic Concepts,CC.2.2.4.A.2,Develop and/or apply number theory concepts to find factors and multiples.
PA Core - Mathematics,Math,4,Algebraic Concepts,CC.2.2.4.A.4,Generate and analyze patterns using one rule.
PA Core - Mathematics,Math,5,Algebraic Concepts,CC.2.2.5.A.1,Interpret and evaluate numerical expressions using order of operations.
PA Core - Mathematics,Math,5,Algebraic Concepts,CC.2.2.5.A.4,Analyze patterns and relationships using two rules.
PA Core - Mathematics,Math,6,Algebraic Concepts,CC.2.2.6.B.1,Apply and extend previous understandings of arithmetic to algebraic expressions.
PA Core - Mathematics,Math,6,Algebraic Concepts,CC.2.2.6.B.2,Understand the process of solving a one-variable equation or inequality and apply it to real-world and mathematical problems.
PA Core - Mathematics,Math,6,Algebraic Concepts,CC.2.2.6.B.3,Represent and analyze quantitative relationships between dependent and independent variables.
PA Core - Mathematics,Math,7,Algebraic Concepts,CC.2.2.7.B.1,Apply properties of operations to generate equivalent expressions.
PA Core - Mathematics,Math,7,Algebraic Concepts,CC.2.2.7.B.3,"Model and solve real-world and mathematical problems by using and connecting numerical, algebraic, and/or graphical representations."
PA Core - Mathematics,Math,8,Algebraic Concepts,CC.2.2.8.B.1,Apply concepts of radicals and integer exponents to generate equivalent expressions.
PA Core - Mathematics,Math,8,Algebraic Concepts,CC.2.2.8.B.2,"Understand the connections between proportional relationships, lines, and linear equations."
PA Core - Mathematics,Math,8,Algebraic Concepts,CC.2.2.8.B.3,Analyze and solve linear equations and pairs of simultaneous linear equations.
PA Core - Mathematics,Math,8,Algebraic Concepts,CC.2.2.8.C.1,"Define, evaluate, and compare functions."
PA Core - Mathematics,Math,8,Algebraic Concepts,CC.2.2.8.C.2,Use concepts of functions to model relationships between quantities.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.C.1,Use the concept and notation of functions to interpret and apply them in terms of their context.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.C.1,Use the concept and notation of functions to interpret and apply them in terms of their context.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.C.1,Use the concept and notation of functions to interpret and apply them in terms of their context.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.C.1,Use the concept and notation of functions to interpret and apply them in terms of their context.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.C.2,Graph and analyze functions and use their properties to make connections between the different representations.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.C.2,Graph and analyze functions and use their properties to make connections between the different representations.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.C.2,Graph and analyze functions and use their properties to make connections between the different representations.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.C.2,Graph and analyze functions and use their properties to make connections between the different representations.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.C.3,Write functions or sequences that model relationships between two quantities.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.C.3,Write functions or sequences that model relationships between two quantities.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.C.3,Write functions or sequences that model relationships between two quantities.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.C.3,Write functions or sequences that model relationships between two quantities.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.C.4,Interpret the effects transformations have on functions and find the inverses of functions.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.C.4,Interpret the effects transformations have on functions and find the inverses of functions.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.C.4,Interpret the effects transformations have on functions and find the inverses of functions.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.C.4,Interpret the effects transformations have on functions and find the inverses of functions.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.C.5,"Construct and compare linear, quadratic, and exponential models to solve problems."
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.C.5,"Construct and compare linear, quadratic, and exponential models to solve problems."
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.C.5,"Construct and compare linear, quadratic, and exponential models to solve problems."
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.C.5,"Construct and compare linear, quadratic, and exponential models to solve problems."
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.C.6,Interpret functions in terms of the situations they model.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.C.6,Interpret functions in terms of the situations they model.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.C.6,Interpret functions in terms of the situations they model.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.C.6,Interpret functions in terms of the situations they model.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.C.7,Apply radian measure of an angle and the unit circle to analyze the trigonometric functions.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.C.7,Apply radian measure of an angle and the unit circle to analyze the trigonometric functions.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.C.7,Apply radian measure of an angle and the unit circle to analyze the trigonometric functions.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.C.7,Apply radian measure of an angle and the unit circle to analyze the trigonometric functions.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.C.8,Choose trigonometric functions to model periodic phenomena and describe the properties of the graphs.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.C.8,Choose trigonometric functions to model periodic phenomena and describe the properties of the graphs.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.C.8,Choose trigonometric functions to model periodic phenomena and describe the properties of the graphs.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.C.8,Choose trigonometric functions to model periodic phenomena and describe the properties of the graphs.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.C.9,Prove the Pythagorean identity and use it to calculate trigonometric ratios.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.C.9,Prove the Pythagorean identity and use it to calculate trigonometric ratios.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.C.9,Prove the Pythagorean identity and use it to calculate trigonometric ratios.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.C.9,Prove the Pythagorean identity and use it to calculate trigonometric ratios.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.1,Interpret the structure of expressions to represent a quantity in terms of its context.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.1,Interpret the structure of expressions to represent a quantity in terms of its context.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.1,Interpret the structure of expressions to represent a quantity in terms of its context.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.1,Interpret the structure of expressions to represent a quantity in terms of its context.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.2,Write expressions in equivalent forms to solve problems.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.2,Write expressions in equivalent forms to solve problems.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.2,Write expressions in equivalent forms to solve problems.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.2,Write expressions in equivalent forms to solve problems.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.3,Extend the knowledge of arithmetic operations and apply to polynomials.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.3,Extend the knowledge of arithmetic operations and apply to polynomials.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.3,Extend the knowledge of arithmetic operations and apply to polynomials.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.3,Extend the knowledge of arithmetic operations and apply to polynomials.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.4,Understand the relationship between zeros and factors of polynomials to make generalizations about functions and their graphs.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.4,Understand the relationship between zeros and factors of polynomials to make generalizations about functions and their graphs.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.4,Understand the relationship between zeros and factors of polynomials to make generalizations about functions and their graphs.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.4,Understand the relationship between zeros and factors of polynomials to make generalizations about functions and their graphs.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.5,Use polynomial identities to solve problems.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.5,Use polynomial identities to solve problems.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.5,Use polynomial identities to solve problems.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.5,Use polynomial identities to solve problems.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.6,Extend the knowledge of rational functions to rewrite in equivalent forms.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.6,Extend the knowledge of rational functions to rewrite in equivalent forms.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.6,Extend the knowledge of rational functions to rewrite in equivalent forms.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.6,Extend the knowledge of rational functions to rewrite in equivalent forms.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.7,Create and graph equations or inequalities to describe numbers or relationships.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.7,Create and graph equations or inequalities to describe numbers or relationships.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.7,Create and graph equations or inequalities to describe numbers or relationships.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.7,Create and graph equations or inequalities to describe numbers or relationships.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.8,Apply inverse operations to solve equations or formulas for a given variable.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.8,Apply inverse operations to solve equations or formulas for a given variable.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.8,Apply inverse operations to solve equations or formulas for a given variable.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.8,Apply inverse operations to solve equations or formulas for a given variable.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.9,Use reasoning to solve equations and justify the solution method.
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.9,Use reasoning to solve equations and justify the solution method.
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.9,Use reasoning to solve equations and justify the solution method.
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.9,Use reasoning to solve equations and justify the solution method.
PA Core - Mathematics,Math,9,Algebraic Concepts,CC.2.2.HS.D.10,"Represent, solve, and interpret equations/inequalities and systems of equations/inequalities algebraically and graphically."
PA Core - Mathematics,Math,10,Algebraic Concepts,CC.2.2.HS.D.10,"Represent, solve, and interpret equations/inequalities and systems of equations/inequalities algebraically and graphically."
PA Core - Mathematics,Math,11,Algebraic Concepts,CC.2.2.HS.D.10,"Represent, solve, and interpret equations/inequalities and systems of equations/inequalities algebraically and graphically."
PA Core - Mathematics,Math,12,Algebraic Concepts,CC.2.2.HS.D.10,"Represent, solve, and interpret equations/inequalities and systems of equations/inequalities algebraically and graphically."
PA Core - Mathematics,Math,PreK,Geometry,CC.2.3.PreK.A.1,Identify and describe shapes.
PA Core - Mathematics,Math,PreK,Geometry,CC.2.3.PreK.A.2,"Analyze, compare, create, and compose shapes."
PA Core - Mathematics,Math,K,Geometry,CC.2.3.K.A.1,Identify and describe two- and three-dimensional shapes.
PA Core - Mathematics,Math,K,Geometry,CC.2.3.K.A.2,"Analyze, compare, create, and compose two- and three-dimensional shapes."
PA Core - Mathematics,Math,1,Geometry,CC.2.3.1.A.1,Compose and distinguish between two- and three-dimensional shapes based on their attributes.
PA Core - Mathematics,Math,1,Geometry,CC.2.3.1.A.2,Use the understanding of fractions to partition shapes into halves and quarters.
PA Core - Mathematics,Math,2,Geometry,CC.2.3.2.A.1,Analyze and draw two- and three-dimensional shapes having specified attributes.
PA Core - Mathematics,Math,2,Geometry,CC.2.3.2.A.2,"Use the understanding of fractions to partition shapes into halves, quarters, and thirds."
PA Core - Mathematics,Math,3,Geometry,CC.2.3.3.A.1,"Identify, compare, and classify shapes and their attributes."
PA Core - Mathematics,Math,3,Geometry,CC.2.3.3.A.2,Use the understanding of fractions to partition shapes into parts with equal areas and express the area of each part as a unit fraction of the whole.
PA Core - Mathematics,Math,4,Geometry,CC.2.3.4.A.1,Draw lines and angles and identify these in two-dimensional figures.
PA Core - Mathematics,Math,4,Geometry,CC.2.3.4.A.2,Classify two-dimensional figures by properties of their lines and angles.
PA Core - Mathematics,Math,4,Geometry,CC.2.3.4.A.3,Recognize symmetric shapes and draw lines of symmetry.
PA Core - Mathematics,Math,5,Geometry,CC.2.3.5.A.1,Graph points in the first quadrant on the coordinate plane and interpret these points when solving real world and mathematical problems.
PA Core - Mathematics,Math,5,Geometry,CC.2.3.5.A.2,Classify two-dimensional figures into categories based on an understanding of their properties.
PA Core - Mathematics,Math,6,Geometry,CC.2.3.6.A.1,"Apply appropriate tools to solve real-world and mathematical problems involving area, surface area, and volume."
PA Core - Mathematics,Math,7,Geometry,CC.2.3.7.A.1,"Solve real-world and mathematical problems involving angle measure, area, surface area, circumference, and volume."
PA Core - Mathematics,Math,7,Geometry,CC.2.3.7.A.2,Visualize and represent geometric figures and describe the relationships between them.
PA Core - Mathematics,Math,8,Geometry,CC.2.3.8.A.1,"Apply the concepts of volume of cylinders, cones, and spheres to solve real-world and mathematical problems."
PA Core - Mathematics,Math,8,Geometry,CC.2.3.8.A.2,"Understand and apply congruence, similarity, and geometric transformations using various tools."
PA Core - Mathematics,Math,8,Geometry,CC.2.3.8.A.3,Understand and apply the Pythagorean Theorem to solve problems.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.1,Use geometric figures and their properties to represent transformations in the plane.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.1,Use geometric figures and their properties to represent transformations in the plane.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.1,Use geometric figures and their properties to represent transformations in the plane.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.1,Use geometric figures and their properties to represent transformations in the plane.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.2,Apply rigid transformations to determine and explain congruence.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.2,Apply rigid transformations to determine and explain congruence.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.2,Apply rigid transformations to determine and explain congruence.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.2,Apply rigid transformations to determine and explain congruence.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.3,Verify and apply geometric theorems as they relate to geometric figures.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.3,Verify and apply geometric theorems as they relate to geometric figures.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.3,Verify and apply geometric theorems as they relate to geometric figures.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.3,Verify and apply geometric theorems as they relate to geometric figures.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.4,Apply the concept of congruence to create geometric constructions.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.4,Apply the concept of congruence to create geometric constructions.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.4,Apply the concept of congruence to create geometric constructions.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.4,Apply the concept of congruence to create geometric constructions.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.5,Create justifications based on transformations to establish similarity of plane figures.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.5,Create justifications based on transformations to establish similarity of plane figures.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.5,Create justifications based on transformations to establish similarity of plane figures.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.5,Create justifications based on transformations to establish similarity of plane figures.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.6,Verify and apply theorems involving similarity as they relate to plane figures.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.6,Verify and apply theorems involving similarity as they relate to plane figures.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.6,Verify and apply theorems involving similarity as they relate to plane figures.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.6,Verify and apply theorems involving similarity as they relate to plane figures.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.7,Apply trigonometric ratios to solve problems involving right triangles.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.7,Apply trigonometric ratios to solve problems involving right triangles.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.7,Apply trigonometric ratios to solve problems involving right triangles.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.7,Apply trigonometric ratios to solve problems involving right triangles.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.8,Apply geometric theorems to verify properties of circles.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.8,Apply geometric theorems to verify properties of circles.
PA Core - Mathematics,Math,11,Geometry,CC.2.3.HS.A.8,Apply geometric theorems to verify properties of circles.
PA Core - Mathematics,Math,12,Geometry,CC.2.3.HS.A.8,Apply geometric theorems to verify properties of circles.
PA Core - Mathematics,Math,9,Geometry,CC.2.3.HS.A.9,Extend the concept of similarity to determine arc lengths and areas of sectors of circles.
PA Core - Mathematics,Math,10,Geometry,CC.2.3.HS.A.9,Extend the concept of similarity to determine arc lengths and areas of sectors of circles.
