Standard,Subject,Grade,Strand,Standard Number,Description
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.A.b,"Describe the personality traits of characters from the thoughts, words, and actions."
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.A.c,Describe the interaction of characters including relationships and how they change.
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.A.d,Paraphrase the big idea/themes and supporting details of texts.
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.A.e,Compare and contrast the key elements in various types of fiction.
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.A.f,Explain cause and effect relationships.
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.A.g,Distinguish their own point of view from that of the narrator or those of the characters.
Missouri Learning Standards: ELA,English,4,Reading,4.R.2.A.a,"Summarize and sequence the events/plot, and explain how past events impact future events, and identify the theme."
Missouri Learning Standards: ELA,English,4,Reading,4.R.2.A.b,"Describe the personality traits of characters from the thoughts, words, and actions."
Missouri Learning Standards: ELA,English,4,Reading,4.R.2.A.c,Describe the interaction of characters including their relationships and how they change.
Missouri Learning Standards: ELA,English,4,Reading,4.R.2.A.d,Compare and contrast the adventures or exploits of characters and their roles.
Missouri Learning Standards: ELA,English,4,Reading,4.R.2.A.e,"Compare and contrast the point of view from which stories are narrated, explain whether the narrator or speaker of a story is first or third person."
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.A.a,"Compare and contrast the roles and functions of characters in various plots, their relationships and their conflicts."
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.A.b,"Explain the theme or moral lesson, conflict and resolution in a story or novel."
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.A.c,Describe how a narrator's or speaker's point of view influences events.
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.A.d,Recognize foreshadowing.
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.A.e,Explain the effect of a historical event or movement in a work of literature.
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.A.f,Introduce origin myths and culturally significant characters and events in mythology.
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.A.g,Introduce different forms of third-person points of view in stories.
Missouri Learning Standards: ELA,English,K,Reading,K.R.2.B.a,Respond to rhythm and rhyme through identifying a regular beat and similarities in word sounds.
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.B.a,"Use rhythm, rhyme and alliteration through identifying a regular beat and similarities in word sounds."
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.B.a,"Describe how rhyme, rhythm, and repetition create imagery in poetry."
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.B.b,Use onomatopoeia.
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.B.a,Use examples of alliteration.
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.B.b,Identify basic forms of poetry.
Missouri Learning Standards: ELA,English,4,Reading,4.R.2.B.a,Explain structural elements of poetry.
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.B.a,Explain how poets use sound and visual elements in poetry.
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.B.b,Identify forms of poems.
Missouri Learning Standards: ELA,English,K,Reading,K.R.2.C.a,Identify characters in a puppet play or performance by actors.
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.C.a,Identify characters and dialogue in plays or performances by actors.
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.C.b,Recognize sensory details in literary texts.
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.C.a,"Identify characters, setting, acts, and scenes in plays."
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.C.b,Identify the elements of dialogue and use them in informal plays.
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.C.a,"Explain the elements of plot, setting, and character as presented through dialogue in scripts that are read or viewed."
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.C.b,Identify and describe language that creates a graphic visual experience and appeals to the senses.
Missouri Learning Standards: ELA,English,4,Reading,4.R.2.C.a,Analyze how characters change from the beginning to the end of a play or film.
Missouri Learning Standards: ELA,English,4,Reading,4.R.2.C.b,Explain structural elements of dramatic literature.
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.C.a,Analyze the similarities between an original text and its dramatic adaptation.
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.C.b,Identify structural elements of dramatic literature.
Missouri Learning Standards: ELA,English,5,Reading,5.R.2.C.c,"Evaluate the critical impact of sensory details, imagery, and figurative language."
Missouri Learning Standards: ELA,English,K,Reading,K.R.3.A.a,Identify the topic and details in an expository text heard and/or read referring to the words and/or illustrations.
Missouri Learning Standards: ELA,English,K,Reading,K.R.3.A.b,Use titles and illustrations to make predictions about text.
Missouri Learning Standards: ELA,English,K,Reading,K.R.3.A.c,Identify text features.
Missouri Learning Standards: ELA,English,K,Reading,K.R.3.A.d,Identify the meaning of environmental print.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.A.a,Use text features to restate the main idea.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.A.b,Explain facts or details using text features and distinguish between what facts were provided by pictures and what facts were conveyed by words.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.A.c,Use text features to locate specific information in text.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.A.d,Follow written multi-step directions with picture cues to assist with understanding.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.A.a,Identify the main idea of sections of text and distinguish it from the topic.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.A.b,Demonstrate understanding by locating facts to answer and/or ask questions.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.A.c,Use text features to locate specific information.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.A.d,Explain common graphic features to assist in the interpretation of text.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.A.e,Follow written multi-step directions.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.A.f,Describe connections between and state the order of the events or ideas.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.A.a,Explain the author's purpose.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.A.b,Explain using details or facts that support the main idea.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.A.c,Use text features and graphic features to locate information and to make and verify predictions.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.A.d,Follow and explain a set of written multi-step directions.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.A.e,"Describe relationship between events, ideas, concepts or steps."
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.A.a,Use multiple text features to locate information and gain an overview of the contents of text.
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.A.b,"Describe the sequence of events, ideas, concepts or steps needed to carry out a procedure."
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.A.c,Interpret and explain factual information presented graphically.
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.A.a,Use multiple text features and graphics to locate information and gain an overview of the contents of text information.
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.A.b,"Interpret details from procedural text to complete a task, solve a problem, or perform procedures."
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.A.c,Interpret factual or quantitative information.
Missouri Learning Standards: ELA,English,K,Reading,K.R.3.B.a,Respond to examples of sensory details.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.B.a,Distinguish between fiction and nonfiction.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.B.b,Identify examples of sensory details.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.B.a,Explain why a text is fiction or nonfiction.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.B.b,Ask and answer questions to clarify meaning.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.B.c,Explain examples of sensory details.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.B.a,Distinguish difference between biography and autobiography.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.B.b,Distinguish fact from opinion.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.B.c,Distinguish point of view to what the author is trying to persuade the reader to think or do.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.B.d,"Explain examples of sound devices, literal and nonliteral meanings, and figurative language."
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.B.a,Explain similarities and differences between the events and characters' experiences in a fictional work and the actual events and experiences described in an author's biography or autobiography.
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.B.b,"Analyze, make inferences, and draw conclusions about persuasive text and use evidence from the text to explain the author's purpose and support the analysis."
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.B.c,Explain how an author uses language to present information to influence what the reader thinks or does.
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.B.a,"Evaluate how well the author's purpose was achieved, identify reasons for the decision and provide evidence to support the claim."
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.B.b,"Analyze multiple accounts of the same event or topic, noting important similarities and differences in the point of view they represent."
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.B.c,Verify facts through established methods.
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.B.d,"Identify the author's viewpoint or position, supporting premises and evidence, and conclusion of a persuasive argument."
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.B.e,"Recognize exaggerated, contradictory, or misleading statements."
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.B.f,Explain the type of evidence used to support a claim in a persuasive text.
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.B.g,Use reasoning to determine the logic of an author's conclusion and provide evidence to support reasoning.
Missouri Learning Standards: ELA,English,K,Reading,K.R.3.C.a,Ask and answer questions to clarify meaning.
Missouri Learning Standards: ELA,English,K,Reading,K.R.3.C.b,Identify basic similarities and differences between two texts on the same topic.
Missouri Learning Standards: ELA,English,K,Reading,K.R.3.C.c,Name the main topic and recall key details of the text.
Missouri Learning Standards: ELA,English,K,Reading,K.R.3.C.d,Ask and answer questions about unknown words in a text.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.C.a,Ask and answer questions to clarify meaning.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.C.b,Identify main ideas and provide supporting details.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.C.c,"Describe the connection between two individuals, events, ideas, or pieces of information in a text."
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.C.d,Identify the reasons an author gives to support points in a text.
Missouri Learning Standards: ELA,English,1,Reading,1.R.3.C.e,Identify similarities and differences between texts on the same topic.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.C.a,Explain main ideas and supporting details.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.C.b,Describe the connection between events and retell sequence of events.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.C.c,Describe the connection between and identify problems and solutions.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.C.d,Identify the author's purpose.
Missouri Learning Standards: ELA,English,2,Reading,2.R.3.C.e,Compare and contrast the most important points presented by text on the same topic.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.C.a,"Describe relationships among events, ideas, concepts, and cause and effect in texts."
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.C.b,Describe and explain the relationship between problems and solutions.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.C.c,Use information gained from illustrations and words to demonstrate understanding of the text.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.C.d,Explain author's purpose.
Missouri Learning Standards: ELA,English,3,Reading,3.R.3.C.e,Compare and contrast the most important points and key details presented in texts on the same topic.
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.C.a,Distinguish fact from opinion in a text and explain how to verify what is a fact.
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.C.b,Explain explicit and implicit relationships among ideas in texts.
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.C.c,Explain author's purpose.
Missouri Learning Standards: ELA,English,4,Reading,4.R.3.C.d,Compare and contrast a firsthand and secondhand account of the same event or topic.
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.C.a,"Identify devices used in biographies and autobiographies, including how an author presents major events in a person's life."
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.C.b,Explain the difference between a stated and implied purpose for an expository text.
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.C.c,Analyze how the pattern of organization of a text influences the relationships.
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.C.d,"Analyze multiple accounts of the same event or topic, noting important similarities and differences in the point of view."
Missouri Learning Standards: ELA,English,5,Reading,5.R.3.C.e,Integrate information from several texts on the same topic in order to write or speak about the subject knowledgeably.
Missouri Learning Standards: ELA,English,K,Reading,K.R.4.A.a,Identifying different forms of media.
Missouri Learning Standards: ELA,English,K,Reading,K.R.4.A.b,Identifying techniques used in media.
Missouri Learning Standards: ELA,English,1,Reading,1.R.4.A.a,Distinguishing purposes of media.
Missouri Learning Standards: ELA,English,1,Reading,1.R.4.A.b,Explaining techniques used in media.
Missouri Learning Standards: ELA,English,2,Reading,2.R.4.A.a,Explaining purposes of media.
Missouri Learning Standards: ELA,English,2,Reading,2.R.4.A.b,Describing techniques used to create media messages.
Missouri Learning Standards: ELA,English,2,Reading,2.R.4.A.c,Identifying various written conventions for using digital media.
Missouri Learning Standards: ELA,English,3,Reading,3.R.4.A.a,Understanding how communication changes when moving from one genre of media to another.
Missouri Learning Standards: ELA,English,3,Reading,3.R.4.A.b,Explaining how various design techniques used in media influence the message.
Missouri Learning Standards: ELA,English,3,Reading,3.R.4.A.c,Comparing various written conventions used for digital media.
Missouri Learning Standards: ELA,English,3,Reading,3.R.4.A.d,Identifying text structures and graphics features of a web page.
Missouri Learning Standards: ELA,English,4,Reading,4.R.4.A.a,Explaining the positive and negative impacts of advertisement techniques used in various genres of media to impact consumer behavior.
Missouri Learning Standards: ELA,English,4,Reading,4.R.4.A.b,Explaining how various design techniques used in media influence the message.
Missouri Learning Standards: ELA,English,4,Reading,4.R.4.A.c,Comparing various written conventions used for digital media.
Missouri Learning Standards: ELA,English,4,Reading,4.R.4.A.d,Explaining text structures and graphics features of a web page and how they help readers to comprehend text.
Missouri Learning Standards: ELA,English,5,Reading,5.R.4.A.a,Explaining how messages conveyed in various forms of media are presented differently.
Missouri Learning Standards: ELA,English,5,Reading,5.R.4.A.b,Comparing and contrasting the difference in techniques used in media.
Missouri Learning Standards: ELA,English,5,Reading,5.R.4.A.c,Identifying the point of view of media presentations.
Missouri Learning Standards: ELA,English,5,Reading,5.R.4.A.d,Analyzing various digital media venues for levels of formality and informality.
Missouri Learning Standards: ELA,English,5,Reading,5.R.4.A.e,Explaining textual and graphics features of a web page and how they help readers to comprehend text.
Missouri Learning Standards: ELA,English,K,Reading Foundations,K.RF.1.A.a,Identifying all upper and lower case letters.
Missouri Learning Standards: ELA,English,K,Reading Foundations,K.RF.1.A.b,Sequencing the letters of the alphabet.
Missouri Learning Standards: ELA,English,K,Reading Foundations,K.RF.1.A.c,"Demonstrating books are read left to right, top to bottom."
Missouri Learning Standards: ELA,English,K,Reading Foundations,K.RF.1.A.d,Demonstrating that written words are made up of different letters.
