Standard,Subject,Grade,Strand,Standard Number,Description,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.5.6),"Analyze multiple accounts of the same event or topic, noting important similarities and differences in the point of view they represent.",
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Literature,CCR (RL.5.6),Describe how a narrator’s or speaker’s point of view influences how events are described,
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text,CCR (RI.8.6),Determine an author’s point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints.,
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Historical/Social Studies Text,CCR (RH.6-8.6),"Identify aspects of a text that reveal an author’s point of view or purpose (e.g., loaded language, inclusion or avoidance of particular facts)",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text,CCR (RI.9-10.6),Determine an author’s point of view or purpose in a text and analyze how an author uses rhetoric to advance that point of view or purpose,
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Literature,CCR (RL.9-10.6),"Application: analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Literature,CCR (RL.11-12.6),"Analyze a case in which grasping point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement)",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Historical/Social Studies Text,CCR (RH.9-10.6),"Compare the point of view of two or more authors for how they treat the same or similar topics, including which details they include and emphasize in their respective accounts.",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading,CCR  (RI.1.7),"Use the illustrations and details in a text to describe its key ideas (e.g., maps, charts, photographs, political cartoons, etc.)",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.3.7),"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur)",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Literature,CCR (RL.3.7),"Explain how specific aspects of a text’s illustrations contribute to what is conveyed by the words in a story (e.g., create mood, emphasize aspects of a character or setting)",
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.4.7),"Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears.",
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.5.7),"Draw on information from multiple print or digital sources, demonstrating the ability to locate an answer to a question quickly or to solve a problem efficiently.",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text,CCR (RI.6.7),"Integrate information presented in different media or formats (e.g., in charts, graphs, photographs, videos, or maps) as well as in words to develop a coherent understanding of a topic or issue.",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Scientific and Technical Text,CCR (RST.6-8.7),"Integrate quantitative or technical information expressed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table).",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Historical/Social Studies Text,CCR (RH.9-10.7),"Integrate quantitative or technical analysis (e.g., charts, research data) with qualitative analysis in print or digital text.",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Scientific and Technical Text,CCR (RST.9-10.7),"Translate quantitative or technical information expressed in words in a text into visual form (e.g., a table or chart) and translate information expressed visually or mathematically (e.g., in an equation) into words",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text,CCR (RI.11-12.7),"Integrate and evaluate multiple sources of information presented in different media or formats (e.g., visually, quantitatively) as well as in words in order to address a question or solve a problem.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading,CCR,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading Informational Text,CCR (RI.1.8),Identify the reasons an author gives to support points in a text.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.2.8),Describe how reasons support specific points the author makes in a text.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.5.8),"Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point(s).",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text,CCR (RI.8.8),"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced.",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text,CCR (RI.9-10.8),"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading,CCR,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading Informational Text,CCR (RI.1.9),"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.3.9),Compare and contrast the most important points and key details presented in two texts on the same topic.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.5.9),Integrate information from several texts on the same topic in order to write or speak about the subject knowledgeably.,
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text,CCR (RI.8.9),Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts disagree on matters of fact or interpretation.,
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text,CCR (RI.9-10.9),"Analyze seminal U.S. documents of historical and literary significance (e.g., Washington’s Farewell Address, the Gettysburg Address, Roosevelt’s Four Freedoms speech, King’s “Letter from Birmingham Jail”), including how they address related themes and concepts.",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text,CCR (RI.11-12.9),"Analyze seventeenth-, eighteenth-, and nineteenthcentury foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln’s Second Inaugural Address) for their themes, purposes, and rhetorical features.",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Scientific and Technical Text,CCR (RST.9-10.9),"Compare and contrast findings presented in a text to those from other sources (including their own experiments), noting when the findings support or contradict previous explanations or accounts.",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Historical/Social Studies Text,CCR (RH.9-10.9),Application: compare and contrast treatments of the same topic in several primary and secondary sources,
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Writing,CCR Anchor 1,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.1),"Write opinion pieces on topics or texts, supporting a point of view with reasons.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.1) a.,"Introduce the topic or text they are writing about, state an opinion, and create an organizational structure that lists reasons",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.1) b.,Provide reasons that support the opinion,
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.1) c.,"Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.1) d.,Provide a concluding statement or section.,
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.1),"Write opinion pieces on topics or texts, supporting a point of view with reasons and information.",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.1) a.,"Introduce a topic or text clearly, state an opinion, and create an organizational structure in which ideas are logically grouped to support the writer’s purpose.",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.1) b.,Provide logically ordered reasons that are supported by facts and details.,
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.1) c.,"Link opinion and reasons using words, phrases, and clauses (e.g., consequently, specifically).",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.1) d.,Provide a concluding statement or section related to the opinion presented,
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W.7.1),Write arguments to support claims with clear reasons and relevant evidence.,
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W.7.1) a.,"Introduce claim(s), acknowledge alternate or opposing claims, and organize the reasons and evidence logically",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W.7.1) b.,"Support claim(s) with logical reasoning and relevant evidence, using accurate, credible sources and demonstrating an understanding of the topic or text.",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W.7.1) c.,"Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), reasons, and evidence.",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W.7.1) d.,Establish and maintain a formal style,
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W.7.1) e.,Provide a concluding statement or section that follows from and supports the argument presented.,
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.1),"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.1) a.,"Introduce precise claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization  that establishes clear relationships among the claim(s), counterclaims, reasons, and evidence.",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.1) b.,"Develop claim(s) and counterclaims fairly, supplying evidence for each while pointing out the strengths and limitations of both in a manner that anticipates the audience’s knowledge level and concerns",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.1) c.,"Use words, phrases, and clauses to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons,  between reasons and evidence, and between claim(s) and counterclaims.",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.1) d.,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR (W/WHST.9-10.1) e.,Provide a concluding statement or section that follows from and supports the argument presented.,
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Writing,CCR Anchor 2,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",
College and Career Readiness Standards for ELA and Literacy,English,A,Writing,CCR  (W.1.2),"Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.2),Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR (W.3.2) a.,Introduce a topic and group related information together; include illustrations when useful to aiding comprehension.,
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.2) b.,"Develop the topic with facts, definitions, and details.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.2) c.,"Use linking words and phrases (e.g., also, another, and, more, but) to connect ideas within categories of information.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.2) d.,Provide a concluding statement or section.,
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.4.2),Write informative/explanatory texts to examine a topic and convey ideas and information clearly,
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.4.2) a.,"Introduce a topic clearly and group related information in paragraphs and sections; include formatting (e.g., headings), illustrations, and multimedia when useful to aiding comprehension",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.4.2) b.,"Develop the topic with facts, definitions, concrete details, quotations, or other information and examples related to the topic.",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.4.2) c.,"Link ideas within categories of information using words and phrases (e.g., another, for example, also, because).",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.4.2) d.,Use precise language and domain-specific vocabulary to inform about or explain the topic.,
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.4.2) e.,Provide a concluding statement or section related to the information or explanation presented.,
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.2),"Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content. [This includes the narration of historical events, scientific procedures/experiments, or technical processes.]",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.2) a.,"Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information, using strategies such as definition, classification, comparison/contrast, and cause/effect; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension.",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.2) b.,"Develop the topic with relevant facts, definitions, concrete details, quotations, or other information and examples.",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.2) c.,Use appropriate transitions to create cohesion and clarify the relationships among ideas and concepts.,
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.2) d.,Use precise language and domain-specific vocabulary to inform about or explain the topic.,
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.2) e.,Establish and maintain a formal style,
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.2) f.,Provide a concluding statement or section that follows from and supports the information or explanation presented.,
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.2),"Write informative/explanatory texts to examine and convey  complex ideas, concepts, and information clearly and accurately through the effective selection, organization, and analysis of content. [This includes the narration of historical events, scientific procedures/experiments, or technical processes.]",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.2) a.,"Introduce a topic and organize complex ideas, concepts, and information  to make important connections and distinctions; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension.",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.2) b.,"Develop the topic with  well-chosen, relevant, and sufficient facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic.",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.2) c.,"Use appropriate and varied transitions to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.2) d.,Use precise language and domain-specific vocabulary to manage the complexity of the topic.,
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.2) e.,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/WHST.9-10.2) f.,"Provide a concluding statement or section that follows from and supports the information or  explanation presented (e.g., articulating implications or the significance of the topic",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Writing,CCR Anchor 3,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details and well-structured event sequences.",
College and Career Readiness Standards for ELA and Literacy,English,A,Writing,CCR  (W.1.3),"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.2.3),"Write narratives in which they recount a well-elaborated event or short sequence of events, include details to describe actions, thoughts, and feelings, use temporal words to signal event order, and provide a sense of closure.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Writing,CCR Anchor 4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.4),Produce writing in which the development and organization are appropriate to task and purpose.,
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.4),"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/whst.6-8.4),"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W/whst.11-12.4),"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Writing,CCR,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach",
College and Career Readiness Standards for ELA and Literacy,English,A,Writing,CCR  (W.1.5),"With guidance and support focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.5),"With guidance and support from peers and others, develop and strengthen writing as needed by planning, revising, and editing. (Editing for conventions should demonstrate command of Language standards 1–3 at this level.)",
College and Career Readiness Standards for ELA and Literacy,English,C,Writing,CCR  (W.5.5),"With guidance and support from peers and others, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1–3 at this level.)",
College and Career Readiness Standards for ELA and Literacy,English,D,Writing,CCR  (W/WHST.6-8.5),"With guidance and support from peers and others, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed. (Editing for conventions should demonstrate command of Language standards 1–3 at this level.)",
College and Career Readiness Standards for ELA and Literacy,English,E,Writing,CCR  (W.11-12.5),"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience. (Editing for conventions should demonstrate command of Language standards 1–3 at this level.)",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Writing,CCR Anchor 6,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",
College and Career Readiness Standards for ELA and Literacy,English,A,Writing,CCR  (W.1.6),"With guidance and support, use a variety of digital tools to produce and publish writing, including in collaboration with peers.",
College and Career Readiness Standards for ELA and Literacy,English,B,Writing,CCR  (W.3.6),"With guidance and support, use technology to produce and publish writing (using keyboarding skills) as well as to interact and collaborate with others.",
