Standard,Subject,Grade,Strand,Standard Number,Description,,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.B.5,Apply properties of operations as strategies to multiply and divide.,,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.B.6,Understand division as an unknown-factor problem.,,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.C,Multiply and divide within 100.,,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.C.7,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.D,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.D.8,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.,,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.D.9,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations.",,,,
Iowa Core Standards: Math,Math,4,Operations & Algebraic Thinking,4.OA.A,Use the four operations with whole numbers to solve problems.,,,,
Iowa Core Standards: Math,Math,4,Operations & Algebraic Thinking,4.OA.A.1,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.",,,,
Iowa Core Standards: Math,Math,4,Operations & Algebraic Thinking,4.OA.A.2,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",,,,
Iowa Core Standards: Math,Math,4,Operations & Algebraic Thinking,4.OA.A.3,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",,,,
Iowa Core Standards: Math,Math,4,Operations & Algebraic Thinking,4.OA.B,Gain familiarity with factors and multiples.,,,,
Iowa Core Standards: Math,Math,4,Operations & Algebraic Thinking,4.OA.B.4,Find all factor pairs for a whole number in the range 1—100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1—100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1—100 is prime or composite.,,,,
Iowa Core Standards: Math,Math,4,Operations & Algebraic Thinking,4.OA.C,Generate and analyze patterns.,,,,
Iowa Core Standards: Math,Math,4,Operations & Algebraic Thinking,4.OA.C.5,Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself.,,,,
Iowa Core Standards: Math,Math,5,Operations & Algebraic Thinking,5.OA.A,Write and interpret numerical expressions.,,,,
Iowa Core Standards: Math,Math,5,Operations & Algebraic Thinking,5.OA.A.1,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",,,,
Iowa Core Standards: Math,Math,5,Operations & Algebraic Thinking,5.OA.A.2,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",,,,
Iowa Core Standards: Math,Math,5,Operations & Algebraic Thinking,5.OA.B,Analyze patterns and relationships.,,,,
Iowa Core Standards: Math,Math,5,Operations & Algebraic Thinking,5.OA.B.3,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane.",,,,
Iowa Core Standards: Math,Math,K,Number & Operations in Base Ten,K.NBT.A,Work with numbers 11—19 to gain foundations for place value.,,,,
Iowa Core Standards: Math,Math,K,Number & Operations in Base Ten,K.NBT.A.1,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.",,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.A,Extend the counting sequence.,,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.A.1,"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.",,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B,Understand place value.,,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B.2,Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:,,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B.2a,"10 can be thought of as a bundle of ten ones — called a ten.""""",,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B.2b,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.",,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B.2c,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).",,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B.3,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <.",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.A,Understand place value.,,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.A.1,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.A.1a,"100 can be thought of as a bundle of ten tens — called a hundred.""""",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.A.1b,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.A.2,"Count within 1000; skip-count by 5s, 10s, and 100s.",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.A.3,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.A.4,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons.",,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.C,Use place value understanding and properties of operations to add and subtract.,,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.C.4,"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.",,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.C.5,"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.",,,,
Iowa Core Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.C.6,"Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.B,Use place value understanding and properties of operations to add and subtract.,,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.B.5,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.B.6,Add up to four two-digit numbers using strategies based on place value and properties of operations.,,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.B.7,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.B.8,"Mentally add 10 or 100 to a given number 100—900, and mentally subtract 10 or 100 from a given number 100—900.",,,,
Iowa Core Standards: Math,Math,2,Number & Operations in Base Ten,2.NBT.B.9,"Explain why addition and subtraction strategies work, using place value and the properties of operations.",,,,
Iowa Core Standards: Math,Math,3,Number & Operations in Base Ten,3.NBT.A,Use place value understanding and properties of operations to perform multi-digit arithmetic.,,,,
Iowa Core Standards: Math,Math,3,Number & Operations in Base Ten,3.NBT.A.1,Use place value understanding to round whole numbers to the nearest 10 or 100.,,,,
Iowa Core Standards: Math,Math,3,Number & Operations in Base Ten,3.NBT.A.2,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",,,,
Iowa Core Standards: Math,Math,3,Number & Operations in Base Ten,3.NBT.A.3,"Multiply one-digit whole numbers by multiples of 10 in the range 10—90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations.",,,,
Iowa Core Standards: Math,Math,4,Number & Operations in Base Ten,4.NBT.B,Use place value understanding and properties of operations to perform multi-digit arithmetic.,,,,
Iowa Core Standards: Math,Math,4,Number & Operations in Base Ten,4.NBT.B.4,Fluently add and subtract multi-digit whole numbers using the standard algorithm.,,,,
Iowa Core Standards: Math,Math,4,Number & Operations in Base Ten,4.NBT.B.5,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",,,,
Iowa Core Standards: Math,Math,4,Number & Operations in Base Ten,4.NBT.B.6,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",,,,
Iowa Core Standards: Math,Math,4,Number & Operations in Base Ten,4.NBT.A,Generalize place value understanding for multi-digit whole numbers.,,,,
Iowa Core Standards: Math,Math,4,Number & Operations in Base Ten,4.NBT.A.1,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right.",,,,
Iowa Core Standards: Math,Math,4,Number & Operations in Base Ten,4.NBT.A.2,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.",,,,
Iowa Core Standards: Math,Math,4,Number & Operations in Base Ten,4.NBT.A.3,Use place value understanding to round multi-digit whole numbers to any place.,,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.A,Understand the place value system.,,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.A.1,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.",,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.A.2,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.A.3,"Read, write, and compare decimals to thousandths.",,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.A.3a,"Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 × 100 + 4 × 10 + 7 × 1 + 3 × (1/10) + 9 × (1/100) + 2 × (1/1000).",,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.A.3b,"Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.",,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.A.4,Use place value understanding to round decimals to any place.,,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.B,Perform operations with multi-digit whole numbers and with decimals to hundredths.,,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.B.5,Fluently multiply multi-digit whole numbers using the standard algorithm.,,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.B.6,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",,,,
Iowa Core Standards: Math,Math,5,Number & Operations in Base Ten,5.NBT.B.7,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",a rectangular array,or a circle,or as many as 10 things in a scattered configuration; given a number from 1—20," count out that many objects."""
Iowa Core Standards: Math,Math,K,Measurement & Data,K.MD.A,Describe and compare measurable attributes.,,,,
Iowa Core Standards: Math,Math,K,Measurement & Data,K.MD.A.1,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.",,,,
Iowa Core Standards: Math,Math,K,Measurement & Data,K.MD.A.2,"Directly compare two objects with a measurable attribute in common, to see which object has more of""/""less of"" the attribute",,,,
Iowa Core Standards: Math,Math,K,Measurement & Data,K.MD.B,Classify objects and count the number of objects in each category.,,,,
Iowa Core Standards: Math,Math,K,Measurement & Data,K.MD.B.3,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.,,,,
Iowa Core Standards: Math,Math,1,Measurement & Data,1.MD.A,Measure lengths indirectly and by iterating length units.,,,,
Iowa Core Standards: Math,Math,1,Measurement & Data,1.MD.A.1,Order three objects by length; compare the lengths of two objects indirectly by using a third object.,,,,
Iowa Core Standards: Math,Math,1,Measurement & Data,1.MD.A.2,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.",,,,
Iowa Core Standards: Math,Math,1,Measurement & Data,1.MD.B,Tell and write time.,,,,
Iowa Core Standards: Math,Math,1,Measurement & Data,1.MD.B.3,Tell and write time in hours and half-hours using analog and digital clocks.,,,,
Iowa Core Standards: Math,Math,1,Measurement & Data,1.MD.C,Represent and interpret data.,,,,
Iowa Core Standards: Math,Math,1,Measurement & Data,1.MD.C.4,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.A,Measure and estimate lengths in standard units.,,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.A.1,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.A.2,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.A.3,"Estimate lengths using units of inches, feet, centimeters, and meters.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.A.4,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.B,Relate addition and subtraction to length.,,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.B.5,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.B.6,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, …, and represent whole-number sums and differences within 100 on a number line diagram.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.C,Work with time and money.,,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.C.7,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m.",,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.1,"Describe the relationship among standard units of time: minutes, hours, days, weeks, months and years.",,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.1,"Describe the relationship among standard units of time: minutes, hours, days, weeks, months and years.",,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.1,"Describe the relationship among standard units of time: minutes, hours, days, weeks, months and years.",,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.1,"Describe the relationship among standard units of time: minutes, hours, days, weeks, months and years.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.C.8,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.D,Represent and interpret data.,,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.D.9,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.",,,,
Iowa Core Standards: Math,Math,9,Unknown,IA.2,"Use interviews, surveys, and observations to collect data that answer questions about students' interests and/or their environment.",,,,
Iowa Core Standards: Math,Math,10,Unknown,IA.2,"Use interviews, surveys, and observations to collect data that answer questions about students' interests and/or their environment.",,,,
Iowa Core Standards: Math,Math,11,Unknown,IA.2,"Use interviews, surveys, and observations to collect data that answer questions about students' interests and/or their environment.",,,,
Iowa Core Standards: Math,Math,12,Unknown,IA.2,"Use interviews, surveys, and observations to collect data that answer questions about students' interests and/or their environment.",,,,
Iowa Core Standards: Math,Math,2,Measurement & Data,2.MD.D.10,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph.",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.A,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.A.1,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.A.2,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l). Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.B,Represent and interpret data.,,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.B.3,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step how many more"" and ""how many less"" problems using information presented in scaled bar graphs.""",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.B.4,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units— whole numbers, halves, or quarters.",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C.5,Recognize area as an attribute of plane figures and understand concepts of area measurement.,,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C.5a,"A square with side length 1 unit, called a unit square",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C.5b,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.,,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C.6,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units).",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C.7,Relate area to the operations of multiplication and addition.,,,,
