Standard,Subject,Grade,Strand,Standard Number,Description
New York Standards,English,11,Reading,11-12R1,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly/implicitly and make logical inferences, including determining where the text is ambiguous; develop questions for deeper understanding and for further exploration."
New York Standards,English,12,Reading,11-12R1,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly/implicitly and make logical inferences, including determining where the text is ambiguous; develop questions for deeper understanding and for further exploration."
New York Standards,English,11,Reading,11-12R2,"Determine two or more themes or central ideas in a text and analyze their development, including how they emerge and are shaped and refined by specific details; objectively and accurately summarize a complex text."
New York Standards,English,12,Reading,11-12R2,"Determine two or more themes or central ideas in a text and analyze their development, including how they emerge and are shaped and refined by specific details; objectively and accurately summarize a complex text."
New York Standards,English,11,Reading,11-12R3,"In literary texts, analyze the impact of author's choices. In informational texts, analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop."
New York Standards,English,12,Reading,11-12R3,"In literary texts, analyze the impact of author's choices. In informational texts, analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop."
New York Standards,English,Pre K,Reading,PKR4,Exhibit an interest in learning new vocabulary.
New York Standards,English,Pre K,Reading,PKR5,Interact with a variety of genres.
New York Standards,English,Pre K,Reading,PKR6,Describe the role of an author and illustrator.
New York Standards,English,K,Reading,KR4,Identify specific words that express feelings and senses.
New York Standards,English,K,Reading,KR5,Identify literary and informational texts.
New York Standards,English,K,Reading,KR6,Name the author and illustrator and define the role of each in presenting the ideas in a text.
New York Standards,English,1,Reading,1R4,Identify specific words that express feelings and senses.
New York Standards,English,1,Reading,1R5,Identify a variety of genres and explain differences between literary texts and informational texts.
New York Standards,English,1,Reading,1R6,Describe how illustrations and details support the point of view or purpose of the text.
New York Standards,English,2,Reading,2R4,Explain how words and phrases in a text suggest feelings and appeal to the senses.
New York Standards,English,2,Reading,2R5,"Describe the overall structure of a text, including describing how the beginning introduces the text and the ending concludes the text."
New York Standards,English,2,Reading,2R6,"Identify examples of how illustrations, text features, and details support the point of view or purpose of the text."
New York Standards,English,3,Reading,3R4,"Determine the meaning of words, phrases, figurative language, and academic and content-specific words."
New York Standards,English,3,Reading,3R5,"In literary texts, identify parts of stories, dramas, and poems using terms such as chapter, scene, and stanza. In informational texts, identify and use text features to build comprehension."
New York Standards,English,3,Reading,3R6,"Discuss how the reader's point of view or perspective may differ from that of the author, narrator or characters in a text."
New York Standards,English,4,Reading,4R4,"Determine the meaning of words, phrases, figurative language, academic, and content-specific words."
New York Standards,English,4,Reading,4R5,"In literary texts, identify and analyze structural elements, using terms such as verse, rhythm, meter, characters, settings, dialogue, stage directions. In informational texts, identify the overall structure using terms such as sequence, comparison, cause/effect, and problem/solution."
New York Standards,English,4,Reading,4R6,"In literary texts, compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations. In informational texts, compare and contrast a primary and secondary source on the same event or topic."
New York Standards,English,5,Reading,5R4,"Determine the meaning of words, phrases, figurative language, academic, and content- specific words and analyze their effect on meaning, tone, or mood."
New York Standards,English,5,Reading,5R5,"In literary texts, explain how a series of chapters, scenes, or stanzas fits together to determine the overall structure of a story, drama, or poem. In informational texts, compare and contrast the overall structure in two or more texts using terms such as sequence, comparison, cause/effect, and problem/solution."
New York Standards,English,5,Reading,5R6,"In literary texts, explain how a narrator's or speaker's point of view influences how events are described. In informational texts, analyze multiple accounts of the same event or topic, noting important similarities and differences in the point of view they represent."
New York Standards,English,6,Reading,6R4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings. Analyze the impact of specific word choices on meaning, tone, and mood, including words with multiple meanings."
New York Standards,English,6,Reading,6R5,"In literary texts, analyze how a particular sentence, paragraph, stanza, chapter, scene, or section fits into the overall structure of a text and how it contributes to the development of theme/central idea, setting, or plot. In informational texts, analyze how a particular sentence, paragraph, chapter, or section fits into the overall structure of a text and how it contributes to the development of theme/central ideas."
New York Standards,English,6,Reading,6R6,Identify the point of view and explain how it is developed and conveys meaning. Explain how an author's geographic location or culture affects his or her perspective.
New York Standards,English,7,Reading,7R4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings. Analyze the impact of specific word choices on meaning, tone, and mood, including words with multiple meanings."
New York Standards,English,7,Reading,7R5,"In literary texts, analyze how structure, including genre-specific features, contributes to the development of themes and central ideas.In informational texts, analyze the structure an author uses to organize a text, including how the sections contribute to the whole and to the development of themes and central ideas."
New York Standards,English,7,Reading,7R6,"In literary texts, analyze how an author develops and contrasts the point of view and the perspectives of different characters or narrators. In informational texts, analyze how the author distinguishes his or her position from that of others."
New York Standards,English,8,Reading,8R4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings. Analyze the impact of specific word choices on meaning, tone, and mood, including words with multiple meanings."
New York Standards,English,8,Reading,8R5,"In literary texts, and informational texts, compare and contrast the structures of two or more texts in order to analyze how the differing structure of each text contributes to overall meaning, style, theme or central idea."
New York Standards,English,8,Reading,8R6,"In literary texts, analyze how the differences between the point of view, perspectives of the characters, the audience, or reader create effects such as mood and tone. In informational texts, analyze how the author addresses conflicting evidence or viewpoints."
New York Standards,English,9,Reading,9-10R4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings. Analyze the impact of specific word choices on meaning, tone, and mood. Examine technical or key terms and how language differs across genres."
New York Standards,English,10,Reading,9-10R4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings. Analyze the impact of specific word choices on meaning, tone, and mood. Examine technical or key terms and how language differs across genres."
New York Standards,English,9,Reading,9-10R5,"In literary texts, consider how varied aspects of structure create meaning and affect the reader. In informational texts, consider how author's intent influences particular sentences, paragraphs, or sections."
New York Standards,English,10,Reading,9-10R5,"In literary texts, consider how varied aspects of structure create meaning and affect the reader. In informational texts, consider how author's intent influences particular sentences, paragraphs, or sections."
New York Standards,English,9,Reading,9-10R6,"Analyze how authors employ point of view, perspective, and purpose to shape explicit and implicit messages (e.g., examine rhetorical strategies, literary elements and devices)."
New York Standards,English,10,Reading,9-10R6,"Analyze how authors employ point of view, perspective, and purpose to shape explicit and implicit messages (e.g., examine rhetorical strategies, literary elements and devices)."
New York Standards,English,11,Reading,11-12R4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings. Analyze the impact of specific word choices on meaning, tone, and mood, including words with multiple meanings. Analyze how an author uses and refines the meaning of technical or key term(s) over the course of a text."
New York Standards,English,12,Reading,11-12R4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings. Analyze the impact of specific word choices on meaning, tone, and mood, including words with multiple meanings. Analyze how an author uses and refines the meaning of technical or key term(s) over the course of a text."
New York Standards,English,11,Reading,11-12R5,"In literary texts, analyze how varied aspects of structure create meaning and affect the reader. In informational texts, analyze the impact and evaluate the effect structure has on exposition or argument in terms of clarity, persuasive/rhetorical technique, and audience appeal."
New York Standards,English,12,Reading,11-12R5,"In literary texts, analyze how varied aspects of structure create meaning and affect the reader. In informational texts, analyze the impact and evaluate the effect structure has on exposition or argument in terms of clarity, persuasive/rhetorical technique, and audience appeal."
New York Standards,English,11,Reading,11-12R6,"Analyze how authors employ point of view, perspective, and purpose, to shape explicit and implicit messages (e.g., persuasiveness, aesthetic quality, satire, sarcasm, irony, or understatement)."
New York Standards,English,12,Reading,11-12R6,"Analyze how authors employ point of view, perspective, and purpose, to shape explicit and implicit messages (e.g., persuasiveness, aesthetic quality, satire, sarcasm, irony, or understatement)."
New York Standards,English,Pre K,Reading,PKR7,Describe the relationship between illustrations and the text.
New York Standards,English,Pre K,Reading,PKR8,Begins in kindergarten.
New York Standards,English,Pre K,Reading,PKR9,"Make connections between self, text, and the world."
New York Standards,English,K,Reading,KR7,Describe the relationship between illustrations and the text.
New York Standards,English,K,Reading,KR8,Identify specific information to support ideas in a text.
New York Standards,English,K,Reading,KR9,"Make connections between self, text, and the world."
New York Standards,English,1,Reading,1R7,Use illustrations and details in literary and informational texts to discuss story elements and/or topics.
New York Standards,English,1,Reading,1R8,Identify specific information an author or illustrator gives that supports ideas in a text.
New York Standards,English,1,Reading,1R9,Make connections between self and text (texts and other people/world).
New York Standards,English,2,Reading,2R7,Demonstrate understanding of story elements and/or topics by applying information gained from illustrations or text features.
New York Standards,English,2,Reading,2R8,Explain how specific points the author or illustrator makes in a text are supported by relevant reasons.
New York Standards,English,2,Reading,2R9,Make connections between self and text (texts and other people/world).
New York Standards,English,3,Reading,3R7,"Explain how specific illustrations or text features contribute to what is conveyed by the words in a text (e.g., create mood, emphasize character or setting, or determine where, when, why, and how key events occur)."
New York Standards,English,3,Reading,3R8,Explain how claims in a text are supported by relevant reasons and evidence. (RI&RL)
New York Standards,English,3,Reading,3R9,"Recognize genres and make connections to other texts, ideas, cultural perspectives, eras, personal events, and situations."
New York Standards,English,4,Reading,4R7,"Identify information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, illustrations, and explain how the information contributes to an understanding of the text."
New York Standards,English,4,Reading,4R8,Explain how claims in a text are supported by relevant reasons and evidence.
New York Standards,English,4,Reading,4R9,"Recognize genres and make connections to other texts, ideas, cultural perspectives, eras, personal events, and situations."
New York Standards,English,5,Reading,5R7,Analyze how visual and multimedia elements contribute to meaning of literary and informational texts.
New York Standards,English,5,Reading,5R8,"Explain how claims in a text are supported by relevant reasons and evidence, identifying which reasons and evidence support which claims."
New York Standards,English,5,Reading,5R9,"Use established criteria to categorize texts and make informed judgments about quality; make connections to other texts, ideas, cultural perspectives, eras and personal experiences."
New York Standards,English,6,Reading,6R7,"Compare and contrast how different formats, including print and digital media, contribute to the understanding of a subject."
New York Standards,English,6,Reading,6R8,"Trace and evaluate the development of an argument and specific claims in texts, distinguishing claims that are supported by reasons and relevant evidence from claims that are not."
New York Standards,English,6,Reading,6R9,"Use established criteria in order to evaluate the quality of texts. Make connections to other texts, ideas, cultural perspectives, eras, and personal experiences."
New York Standards,English,7,Reading,7R7,"Compare and contrast a written text with audio, filmed, staged, or digital versions in order to analyze the effects of techniques unique to each media and each format's portrayal of a subject."
New York Standards,English,7,Reading,7R8,"Trace and evaluate the development of an argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient and recognizing when irrelevant evidence is introduced."
New York Standards,English,7,Reading,7R9,"Use established criteria in order to evaluate the quality of texts. Make connections to other texts, ideas, cultural perspectives, eras, and personal experiences."
New York Standards,English,8,Reading,8R7,"Evaluate the advantages and disadvantages of using different media-- text, audio, video, stage, or digital-- to present a particular subject or idea and analyze the extent to which a production remains faithful to or departs from the written text."
New York Standards,English,8,Reading,8R8,"Trace and evaluate an argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient and recognizing when irrelevant evidence is introduced."
New York Standards,English,8,Reading,8R9,"Choose and develop criteria in order to evaluate the quality of texts. Make connections to other texts, ideas, cultural perspectives, eras, and personal experiences."
New York Standards,English,9,Reading,9-10R7,"Analyze how a subject/content is presented in two or more formats by determining which details are emphasized, altered, or absent in each account. (e.g., analyze the representation of a subject/content or key scene in two different formats, examine the differences between a historical novel and a documentary)."
New York Standards,English,10,Reading,9-10R7,"Analyze how a subject/content is presented in two or more formats by determining which details are emphasized, altered, or absent in each account. (e.g., analyze the representation of a subject/content or key scene in two different formats, examine the differences between a historical novel and a documentary)."
New York Standards,English,9,Reading,9-10R8,"Delineate and evaluate an argument and specific claims in a text, assessing the validity or fallacy of key statements by examining whether the supporting evidence is relevant and sufficient."
New York Standards,English,10,Reading,9-10R8,"Delineate and evaluate an argument and specific claims in a text, assessing the validity or fallacy of key statements by examining whether the supporting evidence is relevant and sufficient."
New York Standards,English,9,Reading,9-10R9,"Choose and develop criteria in order to evaluate the quality of texts. Make connections to other texts, ideas, cultural perspectives, eras, and personal experiences."
New York Standards,English,10,Reading,9-10R9,"Choose and develop criteria in order to evaluate the quality of texts. Make connections to other texts, ideas, cultural perspectives, eras, and personal experiences."
New York Standards,English,11,Reading,11-12R7,"In literary texts, analyze multiple adaptations of a source text as presented in different formats (e.g., works of art, graphic novels, music, film, etc.), specifically evaluating how each version interprets the source. In informational texts, integrate and evaluate sources on the same topic or argument in order to address a question, or solve a problem."
New York Standards,English,12,Reading,11-12R7,"In literary texts, analyze multiple adaptations of a source text as presented in different formats (e.g., works of art, graphic novels, music, film, etc.), specifically evaluating how each version interprets the source. In informational texts, integrate and evaluate sources on the same topic or argument in order to address a question, or solve a problem."
New York Standards,English,11,Reading,11-12R8,"Delineate and evaluate an argument in applicable texts, applying a lens (e.g. constitutional principles, logical fallacy, legal reasoning, belief systems, codes of ethics, philosophies, etc.) to assess the validity or fallacy of key arguments, determining whether the supporting evidence is relevant and sufficient."
New York Standards,English,12,Reading,11-12R8,"Delineate and evaluate an argument in applicable texts, applying a lens (e.g. constitutional principles, logical fallacy, legal reasoning, belief systems, codes of ethics, philosophies, etc.) to assess the validity or fallacy of key arguments, determining whether the supporting evidence is relevant and sufficient."
New York Standards,English,11,Reading,11-12R9,"Choose and develop criteria in order to evaluate the quality of texts. Make connections to other texts, ideas, cultural perspectives, eras, and personal experiences."
New York Standards,English,12,Reading,11-12R9,"Choose and develop criteria in order to evaluate the quality of texts. Make connections to other texts, ideas, cultural perspectives, eras, and personal experiences."
New York Standards,English,Pre K,Reading,PKRF1,Demonstrate understanding of the organization and basic features of print.
New York Standards,English,Pre K,Reading,PKRF1.a,"Recognize that words are read from left to right, top to bottom, and page to page."
New York Standards,English,Pre K,Reading,PKRF1.b,Recognize that spoken words are represented in written language.
New York Standards,English,Pre K,Reading,PKRF1.c,Understand that words are separated by spaces in print.
New York Standards,English,Pre K,Reading,PKRF1.d,"Recognize and name some upper/lowercase letters of the alphabet, especially those in own name."
New York Standards,English,Pre K,Reading,PKRF1.e,Recognize that letters are grouped to form words.
New York Standards,English,Pre K,Reading,PKRF1.f,Differentiate letters from numerals. PKRF1g: Identify front cover and back cover.
New York Standards,English,K,Reading,KRF1,Demonstrate understanding of the organization and basic features of print.
New York Standards,English,K,Reading,KRF1.a,"Follow words from left to right, top to bottom, and page by page."
New York Standards,English,K,Reading,KRF1.b,Recognize that spoken words are represented in written language by specific sequences of letters.
New York Standards,English,K,Reading,KRF1.c,Understand that words are separated by spaces in print.
New York Standards,English,K,Reading,KRF1.d,Recognize and name all upper- and lowercase letters of the alphabet.
New York Standards,English,K,Reading,KRF1.e,"Identify the front cover, back cover, and title page of a book."
New York Standards,English,1,Reading,1RF1,Demonstrate understanding of the organization and basic features of print.
New York Standards,English,1,Reading,1RF1.a,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation)."
New York Standards,English,2,Reading,2RF1,There is not a grade 2 standard for this concept.
New York Standards,English,3,Reading,3RF1,There is not a grade 3 standard for this concept.
New York Standards,English,4,Reading,4RF1,There is not a grade 4 standard for this concept. Please see preceding grades for more information.
New York Standards,English,5,Reading,5RF1,There is not a grade 5 standard for this concept.
New York Standards,English,Pre K,Reading,PKRF2,"Demonstrate an emerging understanding of spoken words, syllables, and sounds (phonemes)."
New York Standards,English,Pre K,Reading,PKRF2.a,"Begin to recognize and match spoken words that rhyme (e.g. songs, chants, finger plays)."
New York Standards,English,Pre K,Reading,PKRF2.b,"Begin to recognize individual syllables within spoken words (e.g. cup cake, base ball)."
New York Standards,English,Pre K,Reading,PKRF2.c,Isolate and pronounce the initial sounds (phonemes) in spoken one-syllable words (e.g. the /m/ in map).
New York Standards,English,K,Reading,KRF2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
New York Standards,English,K,Reading,KRF2.a,Recognize and produce spoken rhyming words.
New York Standards,English,K,Reading,KRF2.b,Blend and segment syllables in spoken words.
New York Standards,English,K,Reading,KRF2.c,Blend and segment onsets and rimes of spoken words.
New York Standards,English,K,Reading,KRF2.d,Blend and segment individual sounds (phonemes) in spoken one-syllable words
New York Standards,English,K,Reading,KRF2.e,Create new words by manipulating the phonemes orally in one-syllable words.
New York Standards,English,1,Reading,1RF2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
New York Standards,English,1,Reading,1RF2.a,"Count, blend and segment single syllable words that include consonant blends."
New York Standards,English,1,Reading,1RF2.b,Create new words by manipulating individual sounds (phonemes) in spoken one-syllable words.
New York Standards,English,1,Reading,1RF2.c,Manipulate individual sounds (phonemes) in single -syllable spoken words.
New York Standards,English,2,Reading,2RF2,There is not a grade 2 standard for this concept. Please see preceding grades for more information.
New York Standards,English,3,Reading,3RF2,There is not a grade 3 standard for this concept. Please see preceding grades for more information.
New York Standards,English,4,Reading,4RF2,There is not a grade 4 standard for this concept. Please see preceding grades for more information.
New York Standards,English,5,Reading,5RF2,There is not a grade 5 standard for this concept. Please see preceding grades for more information.
New York Standards,English,Pre K,Reading,PKRF3,Demonstrate emergent phonics and word analysis skills.
New York Standards,English,Pre K,Reading,PKRF3.a,Demonstrate one-to-one letter-sound correspondence by producing the primary sound of some consonants.
New York Standards,English,K,Reading,KRF3,Know and apply phonics and word analysis skills in decoding words.
New York Standards,English,K,Reading,KRF3.a,Demonstrate one-to-one letter-sound correspondence by producing the primary sound or most frequent sound for each consonant.
New York Standards,English,K,Reading,KRF3.b,Decode short vowel sounds with common spellings.
New York Standards,English,K,Reading,KRF3.c,Decode some regularly spelled one-syllable words.
New York Standards,English,K,Reading,KRF3.d,Read common high-frequency words by sight.
New York Standards,English,1,Reading,1RF3,Know and apply phonics and word analysis skills in decoding words.
New York Standards,English,1,Reading,1RF3.a,"Know the letter-sound correspondences for common blends and consonant digraphs (e.g., sh, ch, th)."
New York Standards,English,1,Reading,1RF3.b,"Decode long vowel sounds in regularly spelled one-syllable words (e.g., final –e conventions and common vowel teams)."
New York Standards,English,1,Reading,1RF3.c,Decode regularly spelled one-syllable words.
New York Standards,English,1,Reading,1RF3.d,Determine the number of syllables in a printed word by using knowledge that every syllable must have a vowel sound.
New York Standards,English,1,Reading,1RF3.e,Decode two-syllable words following basic patterns by breaking the words into syllables.
New York Standards,English,1,Reading,1RF3.f,"Recognize and identify root words and simple suffixes (e.g. run, runs, walk, walked)."
New York Standards,English,1,Reading,1RF3.g,Read most common high-frequency words by sight.
New York Standards,English,2,Reading,2RF3,Know and apply phonics and word analysis skills in decoding words.
New York Standards,English,2,Reading,2RF3.a,Distinguish long and short vowels when reading regularly spelled one-syllable words (including common vowel teams).
New York Standards,English,2,Reading,2RF3.b,Decode short and long vowel sounds in two-syllable words.
New York Standards,English,2,Reading,2RF3.c,Decode regularly spelled two-syllable words.
New York Standards,English,2,Reading,2RF3.d,Recognize and identify root words and common suffixes and prefixes.
New York Standards,English,2,Reading,2RF3.e,Read all common high-frequency words by sight.
New York Standards,English,3,Reading,3RF3,Know and apply grade-level phonics and word analysis skills in decoding words.
New York Standards,English,3,Reading,3RF3.a,Identify and know the meaning of the most common prefixes and suffixes.
New York Standards,English,3,Reading,3RF3.b,There is not a grade 3 standard for this concept.
New York Standards,English,3,Reading,3RF3.c,Decode multi-syllabic words.
New York Standards,English,3,Reading,3RF3.d,"Identify, know the meanings of, and decode words with suffixes."
New York Standards,English,3,Reading,3RF3.e,Recognize and read grade-appropriate irregularly spelled words.
New York Standards,English,4,Reading,4RF3,Know and apply grade-level phonics and word analysis skills in decoding words.
New York Standards,English,4,Reading,4RF3.a,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context."
New York Standards,English,4,Reading,4RF3.b,"Use combined knowledge of all letter-sound correspondences, syllabification patterns, and morphology (e.g. roots, prefixes, and suffixes) to read accurately unfamiliar multisyllabic words in and out of context."
New York Standards,English,5,Reading,5RF3,Know and apply grade-level phonics and word analysis skills in decoding words.
New York Standards,English,5,Reading,5RF3.a,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context."
New York Standards,English,Pre K,Reading,PKRF4,Displays emergent reading behaviors with purpose and understanding.
New York Standards,English,K,Reading,KRF4,Read emergent-reader texts with sufficient accuracy to support comprehension.
New York Standards,English,1,Reading,1RF4,"Read beginning reader texts, appropriate to individual student ability, with sufficient accuracy and fluency to support comprehension."
New York Standards,English,1,Reading,1RF4.a,"Read beginning reader texts, appropriate to individual student ability, orally with accuracy, appropriate rate, and expression on successive readings."
New York Standards,English,1,Reading,1RF4.b,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
New York Standards,English,2,Reading,2RF4,Read grade-level text with sufficient accuracy and fluency to support comprehension.
New York Standards,English,2,Reading,2RF4.a,"Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings."
New York Standards,English,2,Reading,2RF4.b,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
New York Standards,English,3,Reading,3RF4,Read grade-level text with sufficient accuracy and fluency to support comprehension.
New York Standards,English,3,Reading,3RF4.a,"Read grade-level text across genres orally with accuracy, appropriate rate, and expression on successive readings."
New York Standards,English,3,Reading,3RF4.b,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
New York Standards,English,4,Reading,4RF4,Read grade-level text with sufficient accuracy and fluency to support comprehension.
New York Standards,English,4,Reading,4RF4.a,"Read grade-level text across genres orally with accuracy, appropriate rate, and expression on successive readings."
New York Standards,English,4,Reading,4RF4.b,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
New York Standards,English,5,Reading,5RF4,Read grade-level text with sufficient accuracy and fluency to support comprehension.
New York Standards,English,5,Reading,5RF4.a,"Read grade-level text across genres orally with accuracy, appropriate rate, and expression on successive readings."
New York Standards,English,5,Reading,5RF4.b,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
New York Standards,English,Pre K,Writing,PKW1,"Use a combination of drawing, dictating, oral expression, and/or emergent writing to state an opinion about a familiar topic in child-centered, authentic, play-based learning."
New York Standards,English,Pre K,Writing,PKW2,"Use a combination of drawing, dictating, oral expression, and/or emergent writing to name a familiar topic and supply information in child-centered, authentic, play-based learning."
New York Standards,English,Pre K,Writing,PKW3,"Use a combination of drawing, dictating, oral expression, and/or emergent writing to narrate an event or events in a sequence."
New York Standards,English,Pre K,Writing,PKW4,"Create a response to a text, author, or personal experience (e.g., dramatization, art work, or poem)."
New York Standards,English,Pre K,Writing,PKW5,Begins in Grade 4.
New York Standards,English,K,Writing,KW1,"Use a combination of drawing, dictating, oral expression, and/or emergent writing to state an opinion about a familiar topic or personal experience and state a reason to support that topic."
New York Standards,English,K,Writing,KW2,"Use a combination of drawing, dictating, oral expression, and/or emergent writing to name a familiar topic and supply information."
New York Standards,English,K,Writing,KW3,"Use a combination of drawing, dictating, oral expression, and/or emergent writing to narrate an event or events in a sequence."
New York Standards,English,K,Writing,KW4,"Create a response to a text, author, or personal experience (e.g., dramatization, art work, or poem)."
New York Standards,English,K,Writing,KW5,Begins in grade 4.
New York Standards,English,1,Writing,1W1,Write an opinion on a topic or personal experience; give two or more reasons to support that opinion.
New York Standards,English,1,Writing,1W2,"Write an informative/explanatory text to introduce a topic, supplying some facts to develop points, and provide some sense of closure."
New York Standards,English,1,Writing,1W3,Write narratives which recount real or imagined experiences or events or a short sequence of events.
