Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Mathematical Practice,MP.8,Look for and express regularity in repeated reasoning.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.A,Know number names and the count sequence.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.1,Count to 100 by ones and by tens.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.2,Count forward within 100 beginning from any given number other than 1.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.3,Write numerals from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.B,Count to tell the number of objects.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.4,Understand the relationship between numbers and quantities; connect counting to cardinality using a variety of objects including pennies.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.4.a,"When counting objects, establish a one-to-one relationship by saying the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.4.b,Understand that the last number name said tells the number of objects counted and that the number of objects is the same regardless of their arrangement or the order in which they were counted.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.4.c,Understand that each successive number name refers to a quantity that is one larger.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.5,"Count to answer how many?"" questions about as many as 20 things arranged in a line",a rectangular array,or a circle,or as many as 10 things in a scattered configuration; given a number from 1-20,"count out that many objects.""",,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.C,Compare numbers.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.6,"Orally identify (without using inequality symbols) whether the number of objects in one group is greater/more than, less/fewer than, or the same as the number of objects in another group, not to exceed 10 objects in each group.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Counting & Cardinality,K.CC.7,Compare (without using inequality symbols) two numbers between 0 and 10 when presented as written numerals.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Operations & Algebraic Thinking,K.OA.A,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Operations & Algebraic Thinking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds such as claps, acting out situations, verbal explanations, expressions, or equations. Drawings need not show details, but should show the mathematics in the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Operations & Algebraic Thinking,K.OA.2,"Solve addition and subtraction problems (written or oral), and add and subtract within 10 by using objects or drawings to represent the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Operations & Algebraic Thinking,K.OA.3,"Decompose numbers and record compositions for numbers less than or equal to 10 into pairs in more than one way by using objects and, when appropriate, drawings or equations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Operations & Algebraic Thinking,K.OA.4,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or, when appropriate, an equation.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Operations & Algebraic Thinking,K.OA.5,Fluently add and subtract within 5.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.A,Represent and solve problems involving addition and subtraction.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.1,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.2,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem. Drawings need not show details, but should show the mathematics in the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.B,Understand and apply properties of operations and the relationship between addition and subtraction.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.3,Apply properties of operations as strategies to add and subtract.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.4,Understand subtraction as an unknown-addend problem.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.C,Add and subtract within 20.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.5,"Relate counting to addition and subtraction, e.g., by counting on 2 to add 2.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.6,"Add and subtract within 20, demonstrating fluency with various strategies for addition and subtraction within 10. Strategies may include counting on; making ten, e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14; decomposing a number leading to a ten, e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9; using the relationship between addition and subtraction, e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4; and creating equivalent but easier or known sums, e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.D,Work with addition and subtraction equations.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.7,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Operations & Algebraic Thinking,1.OA.8,Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Operations & Algebraic Thinking,2.OA.A,Represent and solve problems involving addition and subtraction.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Operations & Algebraic Thinking,2.OA.1,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Operations & Algebraic Thinking,2.OA.B,Add and subtract within 20.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Operations & Algebraic Thinking,2.OA.2,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Operations & Algebraic Thinking,2.OA.C,Work with equal groups of objects to gain foundations for multiplication.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Operations & Algebraic Thinking,2.OA.3,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Operations & Algebraic Thinking,2.OA.4,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.A,Represent and solve problems involving multiplication and division.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.1,"Interpret products of whole numbers, e.g., interpret 5 x 7 as the total number of objects in 5 groups of 7 objects each. (Note: These standards are written with the convention that a x b means a groups of b objects each; however, because of the commutative property, students may also interpret 5 x 7 as the total number of objects in 7 groups of 5 objects each).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.2,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.3,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem. Drawings need not show details, but should show the mathematics in the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.4,Determine the unknown whole number in a multiplication or division equation relating three whole numbers.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.B,Understand properties of multiplication and the relationship between multiplication and division.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.5,Apply properties of operations as strategies to multiply and divide.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.6,Understand division as an unknown-factor problem.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.C,Multiply and divide within 100.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.7,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division, e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8, or properties of operations. Limit to division without remainders. By the end of Grade 3, know from memory all products of two one-digit numbers.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.D,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.8,"Solve two-step word problems using the four operations. Represent these problems using equations with a letter or a symbol, which stands for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding. This standard is limited to problems posed with whole numbers and having whole-number answers. Students may use parentheses for clarification since algebraic order of operations is not expected.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Operations & Algebraic Thinking,3.OA.9,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Operations & Algebraic Thinking,4.OA.A,Use the four operations with whole numbers to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Operations & Algebraic Thinking,4.OA.1,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Operations & Algebraic Thinking,4.OA.2,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison. Drawings need not show details, but should show the mathematics in the problem.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Operations & Algebraic Thinking,4.OA.3,"Solve multi-step word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Operations & Algebraic Thinking,4.OA.B,Gain familiarity with factors and multiples.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Operations & Algebraic Thinking,4.OA.4,Find all factor pairs for a whole number in the range 1-100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1-100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1-100 is prime or composite.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Operations & Algebraic Thinking,4.OA.C,Generate and analyze patterns.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Operations & Algebraic Thinking,4.OA.5,Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Operations & Algebraic Thinking,5.OA.A,Write and interpret numerical expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Operations & Algebraic Thinking,5.OA.1,"Use parentheses in numerical expressions, and evaluate expressions with this symbol. Formal use of algebraic order of operations is not necessary.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Operations & Algebraic Thinking,5.OA.2,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Operations & Algebraic Thinking,5.OA.B,Analyze patterns and relationships.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Operations & Algebraic Thinking,5.OA.3,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane.",,,,,,,,,,,,,,,,,,,,,,,,
