Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.2.a,"Determine a theme of a story, drama, or poem from details in the text.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.2.b,"Summarize the text, incorporating a theme determined from details in the text.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.3,"Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character's thoughts, words, or actions).",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.1,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.2.a,"Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.2.b,"Summarize the text, incorporating a theme determined from details in the text.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.3,"Compare and contrast two or more characters, settings, or events in a story or drama, drawing on specific details in the text (e.g., how characters interact).",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.1,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.2.a,Determine a theme of a text and how it is conveyed through particular details.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.2.b,Incorporate a theme and story details into an objective summary of the text.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.3,Describe how a particular story's or drama's plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.1,Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.2.a,Determine a theme of a text and analyze its development over the course of the text.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.2.b,Incorporate the development of a theme and other story details into an objective summary of the text.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.3,"Analyze how particular elements of a story or drama interact (e.g., how setting shapes the characters or plot).",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.1,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.2.a,"Determine a theme of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot.",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.2.b,Incorporate a theme and its relationship to other story elements into an objective summary of the text.,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.3,"Analyze how particular lines of dialogue or incidents in a story or drama propel the action, reveal aspects of a character, or provoke a decision.",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.2.a,"Determine a theme of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details.",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.2.a,"Determine a theme of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details.",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.2.b,Provide an objective summary of the text that includes the theme and relevant story elements.,,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.2.b,Provide an objective summary of the text that includes the theme and relevant story elements.,,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.3,"Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme.",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.3,"Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.1,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.1,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.2.a,"Determine two or more themes of a text and analyze their development over the course of the text, including how they interact and build on one another.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.2.a,"Determine two or more themes of a text and analyze their development over the course of the text, including how they interact and build on one another.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.2.b,Produce a thorough analysis of the text.,,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.2.b,Produce a thorough analysis of the text.,,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.3,"Analyze the impact of the author's choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed).",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.3,"Analyze the impact of the author's choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed).",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.4,Ask and answer questions about unknown words in a text.,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.5,"Recognize common types of texts (e.g., storybooks, poems).",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.6,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.4,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.5,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.6,Identify who is telling the story at various points in a text.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.4,"Describe how words and phrases (e.g., regular beats, alliteration, rhymes, repeated lines) supply rhythm and meaning in a story, poem, or song.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.5,"Describe the overall structure of a story, including describing how the beginning introduces the story and the ending concludes the action.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.6,"Distinguish between points of view when referring to narrators and characters, recognizing when the narrator is a character in the story.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.4,"Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.5,"Refer to parts of stories, dramas, and poems when writing or speaking about a text, using terms such as chapter, scene, and stanza; describe how each successive part builds on earlier sections.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.6,"Describe the difference between points of view in texts, particularly first- and third-person narration.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.4,"Determine the meaning of words and phrases as they are used in a text, including those that allude to significant characters found in mythology (e.g., Herculean).",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.5,"Explain major differences between poems, drama, and prose, and refer to the structural elements of poems (e.g., verse, rhythm, meter) and drama (e.g., casts of characters, settings, descriptions, dialogue, stage directions) when writing or speaking about a text.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.6,Explain the differences in the point(s) of view in a text and different perspectives of the characters.,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.4,"Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors, similes, and idioms.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.5,"Explain how a series of chapters, scenes, or stanzas fits together to provide the overall structure of a particular story, drama, or poem.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.6,Describe how a narrator's or speaker's point of view and perspective influence how events are described.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choices, including sensory language, on meaning and tone.",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.5,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot.",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.6,Explain how an author uses the point of view to develop the perspective of the narrator or speaker in a text.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of specific language choices, such as sensory words or phrases, on meaning and tone, including rhymes and other repetitions of sounds (e.g., alliteration) on a specific verse or stanza of a poem or section of a story or drama.",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.5,"Analyze how a drama's or poem's form or structure (e.g., soliloquy, sonnet) contributes to its meaning.",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.6,Analyze how an author uses the point of view to develop and contrast the perspectives of different characters or narrators in a text.,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning, mood, and tone, including analogies or allusions to other texts.",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.5,Compare and contrast the structure of two or more texts and analyze how the differing structure of each text contributes to its meaning and style.,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.6,"Analyze how differences in the points of view and perspectives of the characters and the audience or reader (e.g., created through the use of dramatic irony) create effects such as suspense or humor.",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.4,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning, mood, and tone (e.g., how the language evokes a sense of time and place or an emotion; how it sets a formal or informal tone).",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.4,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning, mood, and tone (e.g., how the language evokes a sense of time and place or an emotion; how it sets a formal or informal tone).",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.5,"Analyze how an author's choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise.",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.5,"Analyze how an author's choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise.",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.6,"Analyze how a point of view, perspective, or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature.",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.6,"Analyze how a point of view, perspective, or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.4,"Determine the connotative, denotative, and figurative meaning of words and phrases as they are used in the text; analyze the impact of author's diction, including multiple-meaning words or language that is particularly evocative to the tone and mood of the text.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.4,"Determine the connotative, denotative, and figurative meaning of words and phrases as they are used in the text; analyze the impact of author's diction, including multiple-meaning words or language that is particularly evocative to the tone and mood of the text.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.5,"Analyze how an author's choices concerning how to structure specific parts of a text (e.g., the choice of where to begin or end a story, the choice to provide a comedic or tragic resolution) contribute to its overall structure and meaning as well as its aesthetic impact.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.5,"Analyze how an author's choices concerning how to structure specific parts of a text (e.g., the choice of where to begin or end a story, the choice to provide a comedic or tragic resolution) contribute to its overall structure and meaning as well as its aesthetic impact.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.6,"Analyze a case in which grasping point of view or perspective requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement) and evaluate the impact of these literary devices on the content and style of the text.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.6,"Analyze a case in which grasping point of view or perspective requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement) and evaluate the impact of these literary devices on the content and style of the text.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.7,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts).",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.9,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.7,"Use illustrations and details in a story to describe its characters, setting, or events.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.9,Compare and contrast the adventures and experiences of characters in stories.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.7,"Use information gained from the illustrations and words in a print or digital text to demonstrate understanding of its characters, setting, or plot.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.9,"Compare and contrast two or more versions of the same story (e.g., Cinderella stories) by different authors or from different cultures.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.7,"Explain how specific aspects of a text's illustrations contribute to what is conveyed by the words in a story (e.g., emphasize aspects of a character or setting).",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.9,"Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series).",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.7,"Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.9,"Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.7,"Analyze how visual and multimedia elements contribute to the meaning, tone, mood, or appeal of a text (e.g., graphic novel, multimedia presentation of fiction, folktale, myth, poem).",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.9,"Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) on their approaches to similar themes and topics.",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.7,"Compare and contrast the experience of reading a story, drama, or poem to listening to or viewing an audio, video, or live version of the text, including contrasting what they see"" and ""hear"" when reading the text to what they perceive when they listen or watch.""",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.9,"Compare and contrast texts in different forms or genres (e.g., stories and poems; historical novels and fantasy stories) in terms of their approaches to similar themes and topics.",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.7,"Compare and contrast a written story, drama, or poem to its audio, filmed, staged, or multimedia version, analyzing the effects of techniques unique to each medium (e.g., lighting, sound, color, or camera focus and angles in a film).",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.9,"Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history.",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.7,"Analyze the extent to which a filmed or live production of a story or drama stays faithful to or departs from the text or script, evaluating the choices made by the director or actors.",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.9,"Analyze how a modern work of fiction alludes to themes, patterns of events, or character types from myths, traditional stories, and religious literary texts, such as (but not limited to) the Bible and The Epic of Gilgamesh, including describing how the material is rendered new.",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.7,"Analyze the representation of a subject or a key scene in two different artistic mediums, including what is emphasized or absent in each treatment (e.g., Auden's Musée des Beaux Arts"" and Breughel's Landscape with the Fall of Icarus).""",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.7,"Analyze the representation of a subject or a key scene in two different artistic mediums, including what is emphasized or absent in each treatment (e.g., Auden's Musée des Beaux Arts"" and Breughel's Landscape with the Fall of Icarus).""",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.9,"Analyze how an author alludes to and transforms source material in a specific work (e.g., how Shakespeare treats a theme or topic from Ovid or the Bible or how a later author draws on a play by Shakespeare).",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.9,"Analyze how an author alludes to and transforms source material in a specific work (e.g., how Shakespeare treats a theme or topic from Ovid or the Bible or how a later author draws on a play by Shakespeare).",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.7,"Analyze multiple interpretations of a story, drama, or poem (e.g., recorded or live production of a play or recorded novel or poetry), evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.)",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.7,"Analyze multiple interpretations of a story, drama, or poem (e.g., recorded or live production of a play or recorded novel or poetry), evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.)",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.8,Not applicable to literature,,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.9,"Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more diverse texts from the same period treat similar themes and/or topics.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.9,"Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more diverse texts from the same period treat similar themes and/or topics.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.10,Actively engage in group reading activities with purpose and understanding. Activate prior knowledge and draw on previous experiences in order to make text-to-self or text-to-text connections and comparisons.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.10,"With prompting and support, read prose and poetry of appropriate complexity for grade 1. Activate prior knowledge and draw on previous experiences in order to make text-to-self or text-to-text connections and comparisons.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.10,"By the end of the year, read and comprehend literature, including stories and poetry, in the grades 2–3 text complexity band proficiently, with scaffolding as needed at the high end of the range. Activate prior knowledge and draw on previous experiences in order to make text-to-self or text-to-text connections and comparisons.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2–3 text complexity band independently and proficiently. Activate prior knowledge and draw on previous experiences in order to make text-to-self or text-to-text connections and comparisons.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, in the grades 4–5 text complexity band proficiently, with scaffolding as needed at the high end of the range. Activate prior knowledge and draw on previous experiences in order to make text-to-self or text-to-text connections and comparisons.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Literature,RL.5.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4–5 text complexity band independently and proficiently. Activate prior knowledge and draw on previous experiences in order to make text-to-self or text-to-text connections and comparisons.",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Literature,RL.6.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range. Build background knowledge and activate prior knowledge in order to make text-to-self, text-to-text, and text-to-world connections that deepen understanding of the text.",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Literature,RL.7.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range. Build background knowledge and activate prior knowledge in order to make text-to-self, text-to-text, and text-to-world connections that deepen understanding of the text.",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Literature,RL.8.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, at the high end of grades 6–8 text complexity band independently and proficiently. Build background knowledge and activate prior knowledge in order to make text-to-self, text-to-text, and text-to-world connections that deepen understanding of the text.",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Literature,RL.9-10.10,"By the end of grade 9, read and comprehend literature, including stories, dramas, and poems, in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range, building background knowledge and activating prior knowledge in order to make personal, historical, and cultural connections that deepen understanding of complex text. By the end of grade 10, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 9–10 text complexity band independently and proficiently, building background knowledge and activating prior knowledge in order to make personal, historical, and cultural connections that deepen understanding of complex text.",,,,,,
Ohio ELA Standard,English,10,Reading Standards for Literature,RL.9-10.10,"By the end of grade 9, read and comprehend literature, including stories, dramas, and poems, in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range, building background knowledge and activating prior knowledge in order to make personal, historical, and cultural connections that deepen understanding of complex text. By the end of grade 10, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 9–10 text complexity band independently and proficiently, building background knowledge and activating prior knowledge in order to make personal, historical, and cultural connections that deepen understanding of complex text.",,,,,,
Ohio ELA Standard,English,11,Reading Standards for Literature,RL.11-12.10,"By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range, building background knowledge and activating prior knowledge in order to make personal, societal, and ethical connections that deepen understanding of complex text. By the end of grade 12, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 11–CCR text complexity band independently and proficiently, building background knowledge and activating prior knowledge in order to make personal, societal, and ethical connections that deepen understanding of complex text.",,,,,,
Ohio ELA Standard,English,12,Reading Standards for Literature,RL.11-12.10,"By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range, building background knowledge and activating prior knowledge in order to make personal, societal, and ethical connections that deepen understanding of complex text. By the end of grade 12, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 11–CCR text complexity band independently and proficiently, building background knowledge and activating prior knowledge in order to make personal, societal, and ethical connections that deepen understanding of complex text.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Informational Text,RI.K.1,"With prompting and support, ask and answer questions about key details in a text.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Informational Text,RI.K.2,"With prompting and support, identify the main topic and retell key details of a text.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Informational Text,RI.K.3,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text.",,,,,,
